行业,岗位大类,岗位细分,岗位具体名称,code,最低薪资,最高薪资,资质要求1,资质要求2,学历要求,标签,职位描述,所属公司,所属公司_code,公司介绍,公司所在行业,公司性质,公司规模,公司所在地,公司标签,刷新时间,【关键词1】前,【词1-词2】,【词2后】,工作内容（总的）,简历要求,截止日期,职位所在地,网站链接
互联网/IT,技术,技术管理,技术类,inn_7x7cyl43la8t,5000,8000,应届生,,本科,带薪年假;提供住宿;年终奖;全勤奖;五险一金;生日福利;节日福利,绘图,艾迪西集团,com_gh91cmoxpwqc,流体系统，上市公司，台资企业，大型集团公司,汽车/机械/制造,民营企业,2000人以上,浙江/宁波,,2021-08-23 10:20:01,,,,"任职要求
 
培养方向：技术开发工程师、研发设计工程师、产品管理工程师、工艺工程师、项目工程师、电气工程师、技改工程师、模具工程师、焊接工程师等
专业要求：全日制本科院校2022届应届毕业生，机械类、电气类、电子类、材料类、金属类、环境工程、建筑工程类（给排水、建筑设备暖通等）等工科类相关专业
工作地点：浙江嘉兴、浙江台州、北京",不限,2022-06-30,浙江省嘉兴市、台州市、北京,https://www.shixiseng.com/intern/inn_7x7cyl43la8t?pcm=pc_SearchList
互联网/IT,技术,技术,机器学习工程师,inn_qsmx2tzubbdv,10000,20000,应届生,,本科,餐补;免费三餐;节日福利,机器学习,国双,com_jasvoc2twroe,中国领先的企业级大数据和人工智能解决方案提供商,互联网/游戏/软件,民营企业,500-2000人,北京市/北京,实习机会多;和谐友爱;轻松自由;气氛好,2021-11-01 16:53:45, ,"1.本岗位负责公司各产业线中智能算法的研发，包括应用场景分析、数据分析、建模、算法部署等工作；
2.利用先进的数据分析及机器学习技术，解决典型的行业挑战；
3.从大数据角度分析行业需求，抽象形成机器学习问题并设计算法；
4.基于大数据基础平台，实现机器学习模型的落地，为客户带来价值。","1.熟悉数据挖掘/机器学习算法，有实践经验；
2.熟练使用python，SQL；
3.具有清晰的系统思维逻辑，对解决行业实际问题有浓厚兴趣；
4.良好的沟通和分析问题与解决问题能力；
5.发表学术论文，有项目经验者优先。"," 
岗位职责：
1.本岗位负责公司各产业线中智能算法的研发，包括应用场景分析、数据分析、建模、算法部署等工作；
2.利用先进的数据分析及机器学习技术，解决典型的行业挑战；
3.从大数据角度分析行业需求，抽象形成机器学习问题并设计算法；
4.基于大数据基础平台，实现机器学习模型的落地，为客户带来价值。
任职要求：
1.熟悉数据挖掘/机器学习算法，有实践经验；
2.熟练使用python，SQL；
3.具有清晰的系统思维逻辑，对解决行业实际问题有浓厚兴趣；
4.良好的沟通和分析问题与解决问题能力；
5.发表学术论文，有项目经验者优先。",中文,2022-08-31,北京市海淀区，北四环中路229号国双大厦,https://www.shixiseng.com/intern/inn_qsmx2tzubbdv?pcm=pc_SearchList
互联网/IT,技术,移动开发,前端开发工程师,inn_jtt8nquzuvdd,6000,8000,毕业1年内,应届生,大专,朝九晚五;绩效奖金,Python;Web前端;JS;HTML/CSS,半人科技,com_ojexpmfomzcl,专注于公共安全领域的认知智能云服务商。,企业服务/咨询,民营企业,15-50人,北京,学术;人才管理;专业人员共事,2021-11-21 12:32:51,,"1、进行大数据可视化系统开发。
2、数据接口实现，撰写相关文档。
3、负责网站网页前端相关产品前端js功能模块的开发；"," 
1、利用Html5和 CSS3相关技术实现pc端页面；
2、理解并熟练使用VUE、FLASK或H5开发框架；
3、负责搭建前端框架、通用组件方案制定、性能优化相关工作；
4、有python语言基础，熟悉常用的机器学习算法框架；
5、与后端工程师协作，高效完成产品的数据交互、动态信息展现。","岗位职责
1、进行大数据可视化系统开发。
2、数据接口实现，撰写相关文档。
3、负责网站网页前端相关产品前端js功能模块的开发；
任职要求
 
1、利用Html5和 CSS3相关技术实现pc端页面；
2、理解并熟练使用VUE、FLASK或H5开发框架；
3、负责搭建前端框架、通用组件方案制定、性能优化相关工作；
4、有python语言基础，熟悉常用的机器学习算法框架；
5、与后端工程师协作，高效完成产品的数据交互、动态信息展现。",中文,2022-05-25,北京市海淀区中关村国防科技园,https://www.shixiseng.com/intern/inn_jtt8nquzuvdd?pcm=pc_SearchList
互联网/IT,技术,通信技术,IT技术支持,inn_bjdmnxqwlhdu,9000,11000,毕业1年内,应届生,本科,地铁周边;定期团建;弹性工作;免费咖啡;下午茶;商业险;五险一金;周末双休;外企;500强,运维;IT支持;Linux;系统运维;网络运维;服务器运维;故障排查;MySQL;Python;桌面运维,佰钧成,com_k08dtclyegbj,华中地区规模的IT解决方案及技术服务供应商,互联网/游戏/软件,民营企业,2000人以上,广州,五险、弹性工作，双休、奖金;好发展前景;办公环境轻松;补充医疗;诚实守信;大牛带队;地铁边,2022-02-10 14:28:14, ,"1、定期对系统维护；
2、及时根据用户提出的需求解决问题及答疑；","1、本科计算机相关专业，英文四级，能进行英文面试；
2、具备良好的沟通能力、思维逻辑能力和分析能力；
3、熟悉Windows批处理作业；熟悉SQL；有编程能力经验优先，如：Python、Java、Linux shell脚本等。
4、有金融相关系统维护经验优先。
【福利情况】
1、上班时间：周一至周五9:00-18:00，弹性上下班，周末双休；
2、入职即购五险一金+商业医疗补充保险；
3、办公地点：无锡市滨湖区建筑西路888号天亿大厦"," 
【岗位职责】
1、定期对系统维护；
2、及时根据用户提出的需求解决问题及答疑；
【岗位要求】
1、本科计算机相关专业，英文四级，能进行英文面试；
2、具备良好的沟通能力、思维逻辑能力和分析能力；
3、熟悉Windows批处理作业；熟悉SQL；有编程能力经验优先，如：Python、Java、Linux shell脚本等。
4、有金融相关系统维护经验优先。
【福利情况】
1、上班时间：周一至周五9:00-18:00，弹性上下班，周末双休；
2、入职即购五险一金+商业医疗补充保险；
3、办公地点：无锡市滨湖区建筑西路888号天亿大厦",中文 英文,2022-04-30,无锡市滨湖区建筑西路888号天亿大厦,https://www.shixiseng.com/intern/inn_bjdmnxqwlhdu?pcm=pc_SearchList
互联网/IT,软件,Java,JAVA开发工程师,inn_by5qnc8jl9uu,10000,20000,应届生,,本科,绩效奖金;年终奖;五险一金;地铁周边;带薪年假;五险一金;商业险,Java;后端;数据库;软件开发;企业软件,北大医信,com_dwer9vzbbpam,中国医疗信息系统解决方案的提供商和服务商，是国家认定的高新技术企业,医疗/健康/制药/生物,民营企业,500-2000人,,待遇不错;信息化;含金量高,2021-09-13 13:25:42, ,"""1.医疗产品研发和项目技术支持；
2.产品关键技术研究和代码开发；
3.负责模块开发和初级程序员开发指导；
4.参与项目需求分析；
5.参与项目开发设计，负责模块设计。""","""1.本科及以上学历，计算机相关专业，2022届应届生；
2.熟悉并在工作中应用过Java
script语言者优先；
3.深入理解某种框架设计思想者优先（例如Spring等）；
4.对某一技术领域有深入研究并有实践者优先（例如JVM调优、搜索引擎等）；
5.研究过优秀开源项目并有心得者优先。"""," 
岗位职责：
""1.医疗产品研发和项目技术支持；
2.产品关键技术研究和代码开发；
3.负责模块开发和初级程序员开发指导；
4.参与项目需求分析；
5.参与项目开发设计，负责模块设计。""
岗位要求：
""1.本科及以上学历，计算机相关专业，2022届应届生；
2.熟悉并在工作中应用过Java
script语言者优先；
3.深入理解某种框架设计思想者优先（例如Spring等）；
4.对某一技术领域有深入研究并有实践者优先（例如JVM调优、搜索引擎等）；
5.研究过优秀开源项目并有心得者优先。""",中文,2022-06-30,方正国际大厦,https://www.shixiseng.com/intern/inn_by5qnc8jl9uu?pcm=pc_SearchList
互联网/IT,技术,技术,前端研发工程师,inn_81zezfoofgax,12000,22000,应届生,毕业1年内,本科,年终奖;定期体检;带薪年假;节日福利;定期团建;生日福利;周末双休;免费健身房;餐补;下午茶,前端开发;Web前端,蓝标传媒,com_8csklh76i3oy,蓝色光标传播集团旗下专注智能营销和新型数字广告的战略业务板块,广告/传媒/公关/展览,民营企业,2000人以上,全国,边听音乐边工作;食堂便宜好吃;轻松活跃;暖暖下午茶;帅哥美女都多;活力& 创新,2022-03-30 14:40:01," 
 ","1、负责广告平台业务、智能运营、技术赋能相关产品的前端研发工作，包括但不仅限于用UGdesk户增长平台、效率运营平台等
2、与产品经理、交互设计师、后端工程师等沟通协作，高质量完成产品界面与交互
3、负责Web前沿技术研究和新技术调研、创新，持续优化现有基础框架、组件和平台
4、团队内部技术分享，推进前端工程技术体系化建设
 ","1、本科以上学历，计算机相关专业，熟练掌握ES6+，CSS3，HTML5等前端技术
2、丰富的Vue前端框架开发经验,熟悉webpack、scss、element-ui
3、良好的项目工程构建能力、思维逻辑能力
4、优秀的开发素养，良好的设计和编码品味，热爱写代码
5、良好的自驱力、抗压和适应能力
6、开拓的视野，了解前端前沿技术
7、熟悉后端语言者优先，java/php/go等
8、有小程序开发经验者优先""
 
 "," 
 
岗位职责：
1、负责广告平台业务、智能运营、技术赋能相关产品的前端研发工作，包括但不仅限于用UGdesk户增长平台、效率运营平台等
2、与产品经理、交互设计师、后端工程师等沟通协作，高质量完成产品界面与交互
3、负责Web前沿技术研究和新技术调研、创新，持续优化现有基础框架、组件和平台
4、团队内部技术分享，推进前端工程技术体系化建设
 
岗位要求：
1、本科以上学历，计算机相关专业，熟练掌握ES6+，CSS3，HTML5等前端技术
2、丰富的Vue前端框架开发经验,熟悉webpack、scss、element-ui
3、良好的项目工程构建能力、思维逻辑能力
4、优秀的开发素养，良好的设计和编码品味，热爱写代码
5、良好的自驱力、抗压和适应能力
6、开拓的视野，了解前端前沿技术
7、熟悉后端语言者优先，java/php/go等
8、有小程序开发经验者优先""
 
 ",中文,2022-04-29,北京市朝阳区酒仙桥街道恒通国际创新园C9C蓝色光标集团,https://www.shixiseng.com/intern/inn_81zezfoofgax?pcm=pc_SearchList
互联网/IT,技术,算法,图像算法工程师,inn_nezzopwxdruq,8000,15000,应届生,毕业1年内,硕士,五险一金;周末双休;绩效奖金;年终奖;房补;地铁周边;不加班,深度学习;图像处理;图像算法;特征提取;缺陷检测;图像分析;opencl;C++;halcon;机器视觉,三英精密,com_iavav9trejkj,从事X射线CT检测装备研发和制造的国家高新技术企业,电子/通信/硬件,民营企业,50-150人,天津市/天津,成立时间长;员工活动丰富;帅气boss;超速成长;大学生;办公轻松氛围,2021-07-23 16:53:57, ,"1.开发基于X射线成像的图像分析、缺陷检测及特征提取算法；
2.根据公司产品和业务需求，进行相关图像算法的研究和开发；
3.负责相关算法的验证、调试、集成工作；
4.完成上级领导安排的其他工作。
 
 ","1.计算机、自动化、电子信息相关专业硕士及以上学历；
2.有丰富的图像处理、机器视觉、模式识别算法开发经验；
3.熟练掌握图像处理常用算法原理（包括图像的去噪、增强、分割、配准等）；
4.熟悉至少一个常用图像处理库（OpenCV、Halcon）；
5.熟练掌握C/C++程序设计技术，具有良好的编程习惯；
 
6.熟悉至少一中常用编程框架（Qt、MFC）。"," 
岗位职责：
1.开发基于X射线成像的图像分析、缺陷检测及特征提取算法；
2.根据公司产品和业务需求，进行相关图像算法的研究和开发；
3.负责相关算法的验证、调试、集成工作；
4.完成上级领导安排的其他工作。
 
 
任职要求：
1.计算机、自动化、电子信息相关专业硕士及以上学历；
2.有丰富的图像处理、机器视觉、模式识别算法开发经验；
3.熟练掌握图像处理常用算法原理（包括图像的去噪、增强、分割、配准等）；
4.熟悉至少一个常用图像处理库（OpenCV、Halcon）；
5.熟练掌握C/C++程序设计技术，具有良好的编程习惯；
 
6.熟悉至少一中常用编程框架（Qt、MFC）。",中文,2022-07-24,天津市东丽区四纬路28号华电智网一号楼,https://www.shixiseng.com/intern/inn_nezzopwxdruq?pcm=pc_SearchList
互联网/IT,技术,测试,测试开发工程师（2023届）,inn_yeugbffnehvu,面议,面议,应届生,,硕士,年终奖;绩效奖金;五险一金;周末双休;年度旅游,测试,广发证券,com_uoiebi2x3duy,国内一线证券公司,金融/经济/投资/财会,股份制企业,2000人以上,广州,晋升空间大;牛人多、环境好;出境游;主管一对一教导;员工活动丰富,2022-04-13 11:35:45,," 
1. 根据需求规格说明书，编写测试方案，规划时间及测试资源；
 
 
2. 根据项目情况，及时调整测试策略、揭示项目风险，整体把控项目质量；
 
 
3. 跟进和分析测试缺陷，出具测试报告，跟进上线及运行情况；
 
 
4. 推进自动化测试建设，运用技术手段提升测试效率和质量。
 "," 
1、硕士研究生（含）以上学历,计算机、数据等相关专业；
 
 
2、熟练掌握Java/C++/C/Go/JavaScript/Ruby/Python 其中1-2种语言；
 
 
3、熟悉主流关系数据库如MYSQL、Oracle、SQL Server等操作，掌握SQL语句；
 
 
4、掌握操作系统、常见数据结构和算法理论；熟悉 Linux 和Networking(Routing, Switch, TCP/IP, DNS, VPN, CDN 等)；
 
 
5、常关注国内外技术，阅读经典技术书籍，能阅读外语技术文档无碍。","岗位职责:
 
1. 根据需求规格说明书，编写测试方案，规划时间及测试资源；
 
 
2. 根据项目情况，及时调整测试策略、揭示项目风险，整体把控项目质量；
 
 
3. 跟进和分析测试缺陷，出具测试报告，跟进上线及运行情况；
 
 
4. 推进自动化测试建设，运用技术手段提升测试效率和质量。
 
任职资格:
 
1、硕士研究生（含）以上学历,计算机、数据等相关专业；
 
 
2、熟练掌握Java/C++/C/Go/JavaScript/Ruby/Python 其中1-2种语言；
 
 
3、熟悉主流关系数据库如MYSQL、Oracle、SQL Server等操作，掌握SQL语句；
 
 
4、掌握操作系统、常见数据结构和算法理论；熟悉 Linux 和Networking(Routing, Switch, TCP/IP, DNS, VPN, CDN 等)；
 
 
5、常关注国内外技术，阅读经典技术书籍，能阅读外语技术文档无碍。",中文,2022-07-06,广发大厦,https://www.shixiseng.com/intern/inn_yeugbffnehvu?pcm=pc_SearchList
互联网/IT,技术,技术管理,商务管理类,inn_0nhzehj4yqlt,6000,10000,应届生,,不限,生日福利;定期体检,商务管理,广东骏亚,com_j0iv9pnbxilx,广东骏亚是一家专业从事印刷电路板的研发、生产、销售为一体的国家高新技术企业。,电子/通信/硬件,民营企业,2000人以上,广东/惠州,,2022-04-18 08:21:04,," 
1、培养期间，在导师的指导下完成工作，并输出工作报告
2、服从领导交办的其他工作事项
 "," 
1、大专及以上学历，2022年毕业生；
2、商务管理等管理类专业、会计专业优先；
3、沟通及人际影响能力强；
4、具敬业精神和成就动机，学习和抗压能力强。
（本岗位仅接受2022届应届生投递，工作地点广东惠州）","岗位职责：
 
1、培养期间，在导师的指导下完成工作，并输出工作报告
2、服从领导交办的其他工作事项
 
岗位要求：
 
1、大专及以上学历，2022年毕业生；
2、商务管理等管理类专业、会计专业优先；
3、沟通及人际影响能力强；
4、具敬业精神和成就动机，学习和抗压能力强。
（本岗位仅接受2022届应届生投递，工作地点广东惠州）",中文,2022-06-30,,https://www.shixiseng.com/intern/inn_0nhzehj4yqlt?pcm=pc_SearchList
互联网/IT,技术,通信技术,软件开发工程师（生命信息支持方向）（J10043））,inn_t1lk9ucq3p6n,10000,20000,应届生,,硕士,定期团建;下午茶;生日会;地铁周边,C++;嵌入式,华声医疗,com_3h2orjib1b2p,一家拥有完全自主知识产权，集研发、制造、营销为一体的中国国家高新技术企业,医疗/健康/制药/生物,民营企业,150-500人,广东/深圳,福利佳;办公环境优美;高成长;生日惊喜;精英共事;晋升快,2021-11-03 10:13:15, ,"1、 学习产品基础知识，学习软件开发基础知识；
2、 学习编程软件；
3、 编写代码，完成模块开发；
4、 修改代码，解决测试中发现的BUG。",1、硕士及以上学历，计算机科学与技术、软件工程、生物医学工程等相关专业。," 
岗位职责：
1、 学习产品基础知识，学习软件开发基础知识；
2、 学习编程软件；
3、 编写代码，完成模块开发；
4、 修改代码，解决测试中发现的BUG。
任职要求：
1、硕士及以上学历，计算机科学与技术、软件工程、生物医学工程等相关专业。",中文,2022-06-30,,https://www.shixiseng.com/intern/inn_t1lk9ucq3p6n?pcm=pc_SearchList
