岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
C工程师/C#工程师/C++开发工程师,数据结构,192.54697011993125,windows,179.68774385037113,linux操作命令4,159.4103772724732,c1证,159.332929178701,gcc,134.21446101087045,桌面软件开发项目,95.94011389687556,gdb调试技术,90.2370092144496,代码规范,88.43641783790206,c++语言,86.27314637994292,设计模式,84.93158634338484
IP软件工程师,数据结构,81.12188515659368,net,80.34731075391778,程序语言,75.59208096144486,逻辑分析解决问题,67.06428352707572,stm32,52.09455434680859,lua,50.77213721368978,linux操作命令4,48.65524837236472,typescript语法5,46.079180884907416,功能安全软件,45.35200914764207,舒适性评价标准,43.946204627348685
IT软件开发工程师/IT技术研发工程师,数据结构,104.04838709800804,html5css,101.78076631505814,net,75.39984147023878,python程序,69.35897524976177,计算机技术基础,65.00159591014666,linux操作命令4,50.25204103395714,前端开发语言,46.79175546978945,加密算法,46.557059131775425,算法基础,46.138422700104826,linux操作系统,45.93977062005646
Java工程师/JAVA开发实施工程师,java语言,1331.4921634906825,mybati,706.0744152425801,springcloud,432.3343711051881,设计模式,218.51744559489424,数据结构,215.16890090023387,多线程处理,196.4228440452819,redis,188.67696348513786,分布式系统的设计,149.1943164608986,上java后端,147.53834554854953,分布式,125.89475763366855
产品项目管理/产品助理/产品专员/产品总监/产品VP,自驱力,224.78742221005916,axcure,218.65026735806603,团队意识,103.88117033946247,逻辑思考力,98.14658785882776,互联网产品,70.51195735522302,产品设计,62.809599502373395,竞品分析,59.940238756800255,offer知识,58.957611891934725,互联网发展趋势,58.957611891934725,同理心,55.82363885833927
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,人力资源六大板块内容,324.7675093880548,人力资源各模块工作内容,235.83044756773887,人力资源,220.14659211440403,国家政策,161.30157381801283,基本人力,128.48508127688075,人力资源工作,108.03014845237232,offic办公软件,91.24833898657103,人力资源管理各项实务的操作流程,84.40307863123937,人力资源相关资格证书,78.61014918924621,亲和؜力,72.93774052479067
农业管理储备员/农业管理储备干部,强烈成功欲望,203.10702588511927,目标敏感,147.0315511263511,团队协作意识,124.95121068375413,offic办公软件,51.818581899171285,直面困难,46.323837915091545,抗压性,29.909966120947004,基本运力知识,29.47880594596735,半年以上车间实习经验,29.47880594596735,饲料行业采购,29.47880594596735,外贸saas,29.47880594596735
前端开发工程师/前端工程师/客户端工程师,html5css,1063.1293336280387,es6,589.700160372608,react技术栈,587.6997407696175,ajax,235.16362676076812,webpack,227.63147263025465,typescript语法5,205.277151674664,数据结构,195.0077640832302,页面架构,160.82804638532048,浏览器端,151.5627127268076,计算机基础,142.60477301908801
功能测试工程师/性能测试工程师,selenium,107.15931305227707,理论基础知识,105.49948148000091,测试理论,102.1719247505471,测试方法,94.64394927535211,软件测,86.76570973847456,软件测试一般方法,78.61014918924626,python程序,71.4397461982329,postman,63.52681486344975,测试流程,60.2232656080958,window,58.957611891934704
商务总监/商务经理/商务专员,商务谈判,165.846524792923,销售思维,151.50952357549022,高效执行力,58.957611891934704,正形象气质,58.557705331389236,沟通交互,48.01512240657408,领导力,44.794590203916556,职业素质,44.515601230533676,出发思考,42.720742806013455,清晰的职业规划,42.429115312816734,逻辑性,42.241877823185035
客户代表/大客户代表/客户经理,敬业务实,117.9152237838694,市场营销,92.61209298565959,勤奋努力,57.81535712552135,游戏运营有浓厚兴趣,57.17310857882108,大客户管理,50.598077284923505,管理潜质,48.40826014801536,谈判技巧,48.06810613559264,年轻人,47.16608951354776,分析力,44.25887795248739,攫取欲望,39.479941848094285
客服代表/客服专员/客服助理/客服管培生,普通话标准,115.43160000850433,电话销售,55.20923697772237,基金知识,50.5350959073726,业务流程,49.2884550878219,口齿清晰,46.09358407761737,服务意识足,42.88953145089813,基金交易业务流程,42.1125799228105,电脑操作即,36.54289147580791,了解公司产品,35.22014244527014,办公计算机操作,35.01211382731784
