岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,美术功底,90.62351760316997,设计功底,49.716539908373896,怪物的动作,45.85592036039367,镜头感觉,43.64670071502636,手绘板绘制4,40.70882725871682,基础动画运动规律2,39.06402359089097,c4d,37.29111886466502,审美力,34.70819781598404,手绘板绘制,34.579994895774874,造型功底,30.64114369163938
3D设计师/3D建模师,美术基础,39.20194800424349,三维软件操作,29.478805945967338,相关软件,22.416503341758073,动画贴图,21.05628996140524,人体解剖结构,16.05113691180335,造型功底,15.822517231477352,构建工具,13.6550355206149,材质球编辑,12.633773976843147,设计功底,12.175479161234422,动画特效4,11.791522378386937
AI开发工程师,caffe,61.687276623659464,负责产品有强烈的责任心,55.81938637078536,yolo算法,51.26748860168234,数据结构,42.405901685961595,pillow,35.88724202117764,深度学习算法,35.802757680518866,swift,35.529916414017904,bert,30.461432810832928,opencv开发经验,29.478805945967345,分布式系统原理,27.9860722211935
AI数据工程师,组合分析,29.478805945967352,语言学,25.793955202721435,逻辑回归,16.695158968034878,自然语言生成,16.057595335136998,数据结构功底,14.02780153753008,数据挖掘算法,13.634906741744407,决策力,13.546022951443115,深度神经网络模型,13.148381186992102,大规模数据挖掘,10.05337252631249,机器学习,3.026445910492662
Android客户端开发工程师,android,149.22726905755323,swift,92.56870897992796,数据结构,84.2817550816866,代码结构,53.07832113640405,ios基础功能开发,48.910403455980074,java语言,48.620835695710404,usb,46.67477608111498,面向对象的设计思想,38.6027745621321,设计模式,37.25048736450028,编写应用文档,36.34174215573919
BD经理/业务拓展员,美妆产品使用,88.43641783790203,核心功能成分,76.32905111009401,单品的初衷,60.53683363904008,商务谈判,35.179565865165486,方式5,33.690063938248386,市场开拓,32.703967533271104,英语听,32.49561094452331,文字编写,29.47880594596736,执业律,29.47880594596734,运营分析,29.47880594596734
BI工程师,三层网络协议,24.119023046700566,数据模型设计方法,23.95168748404448,服务器,23.06749730713587,态度积极主动,22.109104459475518,系统接口知识,19.652537297311564,图形硬件架构,16.964882546054156,officeword,16.079348697800377,网络维护,15.39999210542687,故障处理,14.90036273582261,英文沟通,13.873574918336173
CAD设计师/CAD制图师,愿意往技术,14.739402972983678,工作方向发展,0.0,,,,,,,,,,,,,,,,
CTA/临床试验助理,时间管理推,30.324470535493948,信息化设备,21.056289961405255,口头表达流利,13.101691531541052,ppt操作,4.130192209136616,offic办公软件,2.1946693510237254,服务意识足,1.5795229096261814,高度额责任心,1.553840323171338,抗压性,1.4867371762586832,语言表达,0.0,文字功底,0.0
ERP实施顾问,行业销售,24.09248458681111,财务管理流程,18.287755788652866,文档撰写,17.110198103767868,品德端正,9.864229067180522,ppt操作,5.506922945515486,服务意识足,3.6855534557944236,高度额责任心,1.8799549588986562,极富团队合作精神,0.0,抗压性,0.0,,
HRBP,人力资源管理专业知识,78.80376419327195,同理心,41.76687164121175,商务谈判,33.50434844301475,学习反思,29.478805945967345,人力资源日常管理工作流程,29.478805945967345,人力资源相关,29.478805945967345,职业期待,27.37317694982682,决策力,23.221753631045342,法律专业知识,19.940386018995056,业务思维,19.690531841881608
Python开发工程师,python程序,82.60827205759077,tornado,70.04140896884107,scrapy,48.25399782822036,numpy,44.78043057893259,scipy,42.81445625485734,数据结构,41.08480234716379,ruby,37.51276533432895,pandas,34.76767643419462,bash,30.478361712085444,linux操作命令4,28.037796600899984
QA/质量保证工程师,职业道德,4.774518607845292,工作责任心,3.101599765035147,解决问题的意识,1.873604561163214,组织协调力,1.291329557272584,,,,,,,,,,,,
QC/质量控制工程师,高分子材料,19.02173095962101,合同管理专业知识,9.83593750043674,网络知识,8.098754120261367,高度额责任心,2.417084947155415,,,,,,,,,,,,
SEM/搜索引擎营销员,创造力,2.039040425556948,ppt操作,1.5488220784262305,高度额责任心,0.0,,,,,,,,,,,,,,
UI设计师,美术功底,120.53766947866082,illustrator,110.76284666846476,视觉设计,98.65337803910847,sketch设计工具,88.43641783790204,专业美术基础,88.43641783790204,审美力,82.34547323955789,figma,71.40801567602321,产品交互,67.77872629593531,美术类开发软件,66.91194386769577,流程设计工具,62.52391542441979
iOS客户端开发工程师,swift,129.45567081253682,代码结构,90.25379897513062,ios基础功能开发,48.910403455980074,产品需求,43.1829715229245,数据结构,42.31970030413062,架构设计,22.978977740103115,命名规范,22.52564968939173,设计功底,19.567734366269605,个人开发,18.95066096526472,相关算法,18.566979993652087
临床监查员/CRA,国家药物临床试验管理规,29.478805945967355,药品临床研究项目管理,21.056289961405255,整个流程,16.845031969124204,临床试验经验,13.021707173248544,理解力,10.53459536373912,临床项目管理,10.151807577475312,时间管理推,9.747151243551626,口头表达,7.314879325859207,表达沟通,4.992728572070245,逻辑性,2.766072448665063
买手,周边山区26县,29.478805945967352,数据收集分析,29.47880594596735,工作积极性,16.146360109347828,运营的思路,13.153132767888708,高敏感度,9.961638466665294,工作的统筹规划4,9.826268648655786,市场敏锐度,7.471910946951133,创业精神,6.433237999652427,数据变化敏感度,5.036797563670863,文字功底,4.0508693696791624
二手车评估师,普通话标准,3.7918948811991573,,,,,,,,,,,,,,,,,,
交互设计师,交互设计方法,54.044477567606826,用户体验原则2,53.85901399422154,设计知识,29.47880594596734,服务设计意识,29.47880594596734,移动端用户体验,29.47880594596734,图标设计,24.565671621639453,技巧3,24.565671621639453,行业视野,23.583044756773873,用户同理心,20.25904305655961,交互理论,19.652537297311564
产后康复师,康复证书,29.47880594596734,,,,,,,,,,,,,,,,,,
产品运营,互联网游戏,58.9576118919347,客户视角,49.13134324327891,组织沟通,42.93556489782099,互联网运营实习经验,42.80819912003298,合规意识,42.49209906332919,主动沟通,39.239501091699324,书面沟通,37.69520628544493,文案功底,36.729128423147785,游戏经验,32.60027346557286,可转换资源,29.478805945967352
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,语言沟通,21.189344815648727,纪律性,5.022604175151269,逻辑思考力,1.797868796614639,高度额责任心,1.359610282774921,服务意识足,0.3455206364807272,,,,,,,,,,
仓储运营专员,系统逻辑,58.95761189193471,英文读写,18.216040337716127,沟通交互,7.3869419087037045,创新精神,5.971593428305592,协调沟通,4.003748843841181,自驱动力,3.282941101048584,offic办公软件,2.560447576194346,高度额责任心,1.2085424735777075,逻辑思考力,1.027353598065508,抗压性,0.5946948705034731
仓库文员,沟通反馈意识,37.532621728064136,文字编辑,35.348139487913286,公文写作格式,29.478805945967363,办公室行政工作流程,29.47880594596736,单cad,29.47880594596735,中专及以上2,29.47880594596735,人际洞察力,28.61678948834953,室行政管理知识,20.98198265428597,高160cm,20.334786942577,offic办公软件,16.42953861391372
仓库管理员,积极进取,17.19935623026428,数字敏感性,11.347549504089569,仓库管理知识,9.826268648655786,财务知识,6.021024487172782,高度额责任心,2.6185086927517,offic办公软件,2.560447576194346,协调沟通,0.0,电脑操作即,0.0,,,,
企业文化管理员,文件管理,29.478805945967345,脚本撰写,27.37317694982682,爱剪辑,18.921672644493746,视频制作软件,17.15103923730606,沟通协调意愿,12.792214669230157,沟通协作,12.768800621882582,积极的心态,10.154278240767828,正形象气质,8.193940392660826,平面设计用软件,6.453444074229016,自媒体,5.838816863679607
传菜员/服务员/配菜打荷员/送餐员,17-30周岁,19.10578885773247,170cm,9.442023060347287,160cm,6.854151015582105,三观正,3.7757812497037064,普通话标准,2.2751369287194945,身材好,2.142039716104695,服务意识足,1.105666036738327,团队意识,0.6959657288654367,语言表达,0.0,,
供应链管理员,自律性5,117.91522378386941,基础统计,29.47880594596735,主动沟通,26.159667394466215,绪控制力,25.79395520272143,沟通表达理,20.943017767715226,勇于尝试新思路,19.543102743475703,6must,19.53872357013119,开拓进取,19.020447955066686,项目计划,18.739212878491816,事业心,16.57906960339936
保险核保员/保险理赔员,商务谈判,23.453043910110324,电子商务业务销售技巧,4.153109108990412,销售知识,3.68385721584927,语言表达,1.9660118326937353,逻辑思考力,1.6437657569048127,高度额责任心,0.24170849471554146,,,,,,,,
保险精算师,数理统,29.47880594596735,大数据分析,0.0,,,,,,,,,,,,,,,,
信用卡销售,敬业度,10.352646337451779,责任感6,3.141545243337457,抗压性,0.0,,,,,,,,,,,,,,
信贷管理员,性格坚韧,10.305612032785033,商业信誉,10.265306743146855,口齿清晰,9.30139589010216,普通话标准,7.204600274278398,国内外资本市场,3.6040241880009374,进取心,3.536071239900327,承压力,3.532542163853073,事业心,1.6579069603399361,高度额责任心,1.2085424735777075,极富团队合作精神,0.8963889918931952
健康顾问/医美咨询人员,在线沟通工具,29.47880594596735,普通话标准,3.159912400999298,极富团队合作精神,0.24899694219255417,抗压性,0.0,,,,,,,,,,,,
养发师,利润思维,24.0856454128541,普通话标准,3.7918948811991573,学习力,1.8969276378251143,执行力,1.2442735029634069,,,,,,,,,,,,
内容审核,论坛管理,16.257095413785965,英语6级,12.901256141029023,突发事件,5.816261601618197,英语四级通,4.04040470826556,普通话标准,3.7918948811991573,抗压性,0.0,,,,,,,,
内容策划人员,各大投放渠道,29.478805945967352,中英文沟通,27.25686228995259,撰写文章,20.635164162177144,复杂的技术概念,11.791522378386942,技术理解力,10.346781422688803,170cm,9.442023060347287,160cm,6.854151015582105,三观正,3.7757812497037064,身材好,2.142039716104695,执行力,1.2442735029634069
内容运营,知识基础,95.62056652128125,文字编辑功底,90.7736047304341,阅读量大,84.02715000353318,思想成熟,58.33212183013127,非文学类书籍阅读基础,57.372339912768744,宏观思维,49.90287791286171,新媒体,48.44940207887364,文字功底,45.14629612993622,主动意识,40.49982074757298,自驱精神,39.305074594623136
农业管理储备员/农业管理储备干部,强烈成功欲望,164.41997333557273,团队协作意识,124.95121068375411,目标敏感,121.10006062787647,半年以上车间实习经验,117.9152237838694,宏观经济,56.32446916933324,核心胜任力,53.909523755122414,offic办公软件,51.08702544883003,直面困难,46.323837915091545,沟通表达理,45.38506231347159,学生会干部,43.19989380746554
农艺师,组织协调力,1.936994335908876,,,,,,,,,,,,,,,,,,
出版发行员,高度额责任心,0.483416989431083,极富团队合作精神,0.29879633063106503,抗压性,0.0,,,,,,,,,,,,,,
创意策划人员,文案写作,160.0098013960207,阅片量丰富,16.34923550724708,思维活跃,14.26095317444603,创意策划,14.153290248858376,勇于挑战固,13.668154203951644,知识面广,13.135169230370865,细节控,10.71956579853358,设计功底,10.146232634362018,文字功底,6.996956183991281,洞察力,5.899701244582653
前厅经理/酒店经理/酒店管理人/酒店前台,预订资料,21.102519687203312,护士执业资格证,17.883709863901203,操作office,13.600069502423219,以上文化程度,13.426112792653942,头脑灵活,7.377368016057255,服务意识足,6.772204475022253,工作负责,5.597675906610022,普通话标准,4.87529341868463,亲和؜力,2.8124135394528174,化办公软件,2.5909724007993247
前端开发工程师/前端工程师/客户端工程师,物联网,29.478805945967352,基本数据结构,20.837300938142,工作精神,19.65253729731157,windows的消息机制,14.739402972983676,游戏常识,11.019068976809413,面向对象分析,10.531538245091754,开发经验,10.143469931534227,编码风格4,4.913134324327891,解决难题7,4.913134324327891,用户服务意识,4.400115892577658
剪辑师,抖音深度用户,44.21820891895102,各种视频,33.16365668921327,审美风格2,29.47880594596735,短视频玩法,29.47880594596735,摄技巧,29.47880594596735,镜头的把控,27.211205488585247,运镜与转场的处理,24.94360503120314,沟通水平,24.565671621639456,审美力,22.57355278197704,后期制作相关软件,22.10910445947551
动物实验技术员,英语阅读,13.049187455536792,工作负责,2.798837953305011,团队合作精神责任心,0.0,身心健康,0.0,,,,,,,,,,,,
动画设计,mg动画视频的制作,47.87357326347423,匹配分析,44.21820891895102,c4d,35.45564959295075,3d动画制作,35.12743756423761,spine,31.861763259340496,常见物品运动规律,29.47880594596735,审美2,29.47880594596735,文字转化,29.451617651457486,动画基础,27.373176949826824,各类项目脚本,25.65140892223716
包装设计师,主流包装工艺,58.957611891934704,立体设计美学,58.957611891934704,包装视觉设计,52.40676612616418,材质特征,52.40676612616418,印刷流程,45.85592036039366,业法律法规,39.30507459462314,设计基础,35.541146823405555,审美品味,30.26811130860841,互联网快速迭代开发的模式,29.47880594596734,各类设计软件,24.5388235895736
化妆师/化妆师助理,室内设计流程,29.47880594596735,灵敏快捷的人,9.826268648655784,思维灵活,4.720519757410302,,,,,,,,,,,,,,
化工项目经理,英语四级通,4.04040470826556,极富团队合作精神,0.8963889918931952,offic办公软件,0.512089515238869,高度额责任心,0.483416989431083,,,,,,,,,,,,
医务管理,风险防范意识,101.81844780006897,工作态度,50.08079281606987,创新意识,32.57854559662288,1年以上法,29.47880594596735,关系维护,26.2033830630821,英语四级证书,19.07420461314694,文控体系建设,13.399457248166978,课程学习成绩,9.445155038888739,正形象气质,8.193940392660826,英语四级通,7.07070823946473
医学信息沟通专员/医学信息沟通顾问,诚实踏实,58.957611891934704,抗感染药品,28.868694373213167,适应性,24.766591919670372,组织协调力,14.204625129998423,与人沟通,12.666294576263033,外延产品知识,11.243044284136364,业务敏感度,9.061475829133716,道德标准,5.895761189193469,沟通表达理,3.257802763866813,解决问题的意识,2.8104068417448205
医疗器械售后工程师,用户服务意识,4.950130379149865,工作责任心,0.0,,,,,,,,,,,,,,,,
医药代表/医药销售员,职业操,44.57899159775583,工作独立性,24.017491942376516,沟通表达理,5.817504935476451,积极主动,5.302004865097339,人际交往,5.098107911956446,组织协调力,3.873988671817752,与人沟通,3.618941307503724,执行力,2.4885470059268138,语言表达,1.9660118326937353,抗压性,0.4955790587528946
医药项目经理/医药产品经理,商业思维,27.556781143627944,信息搜集,17.448316577215685,业务敏感度,12.944965470191026,分析解决问题,4.347600844290387,化办公软件,2.5909724007993247,抗压性,0.21239102517981195,极富团队合作精神,0.0,,,,,,
单片机工程师,测量仪器,24.565671621639453,模拟电路基础,24.004030422761442,数字滤波器,17.742784757774267,单片机内部结构,17.195970135147615,硬件知识,16.505923972463716,spi,14.809035455144494,电路问题,14.73940297298367,详细设计,13.399457248166975,常用外围电路,10.654550108138874,常用外设,10.425654759342363
发型师/美发学徒,分子生物学技能,11.754999922828352,中英文沟通,0.0,,,,,,,,,,,,,,,,
可靠度工程师,相关性分析,29.47880594596735,数据统计软件,21.05628996140525,面向对象的程序设计,14.056624972436088,minitab,13.935354845414729,hbase,9.8627219068656,算法基础,5.6540328709576455,数据结构,4.221735520061397,机电产品结构原理,4.211257992281051,kafka,3.3136040799553244,php,2.563690767854051
后勤/总务,offic办公软件,2.560447576194346,,,,,,,,,,,,,,,,,,
后期制作,调色软件,22.927960180196827,合成软件,22.3107712241324,color,19.652537297311568,premiere,5.673174575439434,逻辑性,0.0,影视公司影视包装,0.0,,,,,,,,
咖啡师,咸点的制作,29.47880594596735,极富团队合作精神,0.5975926612621302,服务意识足,0.5528330183691633,工作激情,0.0,,,,,,,,,,,,
