岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,美术功底,34.64713590969897,设计功底,15.614393709717683,手绘板绘制,13.992925430382025,审美力,12.253776238366132,造型功底,10.131073734553233,基础动画运动规律2,7.454925778795315,镜头感觉,7.183198243941691,怪物的动作,6.5996632910744415,美术基础,5.954543164125102,手绘板绘制4,5.85888475840282
3D设计师/3D建模师,美术基础,11.159658698898076,造型功底,5.231498221852428,三维软件操作,4.242640687119284,设计功底,3.8239331534002488,手绘板绘制,3.7094556718982252,相关软件,3.676612086335166,审美力,3.465053642267703,人体解剖结构,3.210716855344672,美术功底,3.1278664362922677,动画贴图,3.0304576336566313
AI开发工程师,数据结构,29.193961195600643,caffe,15.923382538746695,python程序,12.923605368287886,swift,10.300030986714072,深度学习算法,9.9771989785003,负责产品有强烈的责任心,9.137995326103075,linux操作系统,7.582548833271118,学习算法,7.529521659008401,yolo算法,7.378505542816149,图像处理,6.47326960424582
AI数据工程师,组合分析,4.242640687119286,语言学,3.712310601229375,深度神经网络模型,3.5899267352547803,逻辑回归,3.5163348204358513,自然语言生成,3.4732642519870347,数据挖掘算法,2.8185581098298047,数据结构功底,2.2844988315257693,大规模数据挖掘,1.9581418555935166,决策力,1.7839070122640603,机器学习,1.011830918269945
Android客户端开发工程师,数据结构,58.02301541830972,android,42.55994507620012,swift,26.83542960763056,java语言,17.641990803145532,http协议,14.226577301959413,算法基础,13.967386131284366,设计模式,13.851170881004302,多线程处理,11.715842192698611,代码结构,9.912351423542331,json,9.154507435004412
BD经理/业务拓展员,美妆产品使用,12.727922061357857,核心功能成分,10.985408922005293,单品的初衷,8.71256569676282,市场开拓,6.601364138919492,方式5,4.848732213850612,执业律,4.242640687119286,文字编写,4.242640687119286,运营分析,4.242640687119285,办公软件3,3.934555999576996,商务谈判,3.5808831645841037
BI工程师,服务器,4.835299142534128,数据模型设计方法,4.242640687119286,图形硬件架构,3.9774756441743304,三层网络协议,3.471251471279415,态度积极主动,3.1819805153394642,软件开发过程,2.9698484809835,数据结构,2.9064158065423893,系统接口知识,2.8284271247461907,算法知识,2.724590036392122,故障处理,2.6998622554395455
CAD设计师/CAD制图师,愿意往技术,2.121320343559642,工作方向发展,0.0,,,,,,,,,,,,,,,,
CTA/临床试验助理,时间管理推,5.145454676276862,信息化设备,3.0304576336566322,口头表达流利,1.8856180831641274,ppt操作,0.7415358506755466,offic办公软件,0.52199738627232,抗压性,0.49290300292791234,服务意识足,0.48858884509081313,高度额责任心,0.196838383583297,语言表达,0.0,文字功底,0.0
ERP实施顾问,文档撰写,3.0484128519417926,财务管理流程,2.8284271247461907,行业销售,2.749792366478982,服务意识足,1.1400406385452309,品德端正,1.0601049648990815,ppt操作,0.9887144675673953,高度额责任心,0.23815014310077912,极富团队合作精神,0.0,抗压性,0.0,,
HRBP,人力资源管理专业知识,13.576450198781707,同理心,11.758964639016986,目标敏感,4.385688989413026,学习反思,4.242640687119286,人力资源日常管理工作流程,4.242640687119286,人力资源相关,4.242640687119286,组织协调力,3.953485651437452,职业期待,3.9395949237536225,商务谈判,3.4103649186515277,法律专业知识,3.399721444072536
Python开发工程师,python程序,39.364864902396484,数据结构,28.28446225090152,linux操作命令4,15.124025499342041,http协议,11.381546463963486,tornado,10.080480600843936,redis,9.75478545122051,numpy,7.966590561650086,pandas,7.179098624012681,scrapy,6.94479874379645,bash,6.897392462100359
QA/质量保证工程师,职业道德,1.012735845868215,工作责任心,0.4537694256321179,解决问题的意识,0.43709642453223174,组织协调力,0.3494242368694718,,,,,,,,,,,,
QC/质量控制工程师,高分子材料,2.6890418745942686,合同管理专业知识,1.4683823470995114,网络知识,0.786863077678502,高度额责任心,0.30619304112957313,,,,,,,,,,,,
SEM/搜索引擎营销员,创造力,0.4536183807067454,ppt操作,0.27807594400332997,高度额责任心,0.0,,,,,,,,,,,,,,
UI设计师,美术功底,46.083898828039416,illustrator,44.227687057225374,审美力,29.072180833751553,视觉设计,21.598898043516353,figma,18.704628624234306,美术基础,15.30551829867767,手绘板绘制,12.856011648069499,专业美术基础,12.727922061357852,sketch设计工具,12.727922061357852,流程设计工具,10.18233764908628
iOS客户端开发工程师,swift,37.528864555642734,数据结构,29.134616630430983,代码结构,16.85485436610116,ios基础功能开发,8.485281374238571,算法基础,8.300238604255657,设计功底,6.145606853678971,产品需求,5.867209056493728,命名规范,5.399724510879091,操作系统,5.38202784516086,json,4.507805730064241
临床监查员/CRA,国家药物临床试验管理规,4.242640687119285,临床试验经验,3.7039952370548286,药品临床研究项目管理,3.0304576336566322,整个流程,2.4243661069253055,时间管理推,1.6538961459461343,理解力,1.641787018656387,临床项目管理,1.5139416561911159,口头表达,1.0673592112280015,逻辑思考力,0.7596414701568183,表达沟通,0.49420600367686596
买手,周边山区26县,4.242640687119286,数据收集分析,4.242640687119285,工作积极性,2.487670729579368,高敏感度,1.8390305131034717,运营的思路,1.4798232096542143,工作的统筹规划4,1.4142135623730954,文字功底,1.2902573190779045,市场敏锐度,1.2643770951068571,数据变化敏感度,1.0847884990754926,创业精神,0.5681814196515084
二手车评估师,普通话标准,1.0791044929414242,,,,,,,,,,,,,,,,,,
