岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,3dsMAX,139.31372145585223,MAYA,111.67473863909376,美术功底,90.62351760316997,Zbrush,69.22248895244867,Unity3D引,54.080439674055036,设计功底,49.716539908373896,怪物的动作,45.85592036039367,镜头感觉,43.64670071502636,手绘板绘制4,40.70882725871682,基础动画运动规律2,39.06402359089097
Android客户端开发工程师,AndroidUI框架,164.1300307600394,Java底,115.97911063007483,AndroidSDK,94.41256555720773,Android,93.15406537083307,swift,92.56870897992796,数据结构,84.2817550816866,Kotlin语言,61.437744387643875,AndroidSD,60.00990011530714,iOS开发,54.24587458962885,Android系统3,53.14915622237645
UI设计师,Skecthup,138.73735526531908,Photos,136.09439612425416,美术功底,120.53766947866082,illustrator,110.76284666846476,专业美术基础,88.43641783790204,sketch设计工具,88.43641783790204,色彩感觉能力,85.84740409356804,审美力,82.34547323955789,Andriod系统设计规范,73.69701486491836,figma,71.40801567602321
产品运营,互联网游戏,58.9576118919347,客户视角,49.13134324327891,书面沟通能力,47.08727330374014,组织沟通,42.93556489782099,互联网运营实习经验,42.80819912003298,合规意识,42.49209906332919,主动沟通,39.239501091699324,文案功底,36.729128423147785,内容Sense,34.50915516187175,游戏经验,32.60027346557286
内容运营,营销-策划-推广能力,117.9152237838694,知识基础,95.62056652128125,文字编辑功底,90.7736047304341,阅读量大,84.02715000353318,内容能力,61.42640675184424,思想成熟,58.33212183013127,非文学类书籍阅读基础,57.372339912768744,宏观思维,49.90287791286171,新媒体,48.44940207887364,文字功底,45.14629612993622
农业管理储备员/农业管理储备干部,强烈成功欲望,164.41997333557273,团队协作意识,124.95121068375411,目标敏感,121.10006062787647,半年以上车间实习经验,117.9152237838694,学习能力,71.9227355493841,宏观经济,56.32446916933324,核心胜任力,53.909523755122414,沟通能力,52.91744332963845,offic办公软件,51.08702544883003,英语运用能力,48.6155026228167
商务司机,性格坚韧,35.09559076099954,普通话标准,30.965226431368272,项目公关,29.478805945967363,客情维护能力,29.478805945967352,开发新客户,29.30048561543435,口齿清晰,27.90418767030648,知识学习,27.576210464761438,乐观主动,27.327450580618297,销售意识,25.88507621196941,销售欲望,25.267547953686314
商务总监/商务经理/商务专员,销售思维,151.50952357549022,商务谈判,97.83269745360305,职业素质,51.934868102289286,出发思考,49.8408666070157,沟通交互,49.24627939135803,进销存系统,41.76164175678708,逻辑性,29.51794455932575,商务沟通谈判能力,29.478805945967352,医药专业背景,29.478805945967352,客户需求判断能力,28.853936388153404
客户代表/大客户代表/客户经理,基本素质,176.87283567580414,敬业务实,176.87283567580408,年轻人,94.33217902709552,输出能力,88.00262752604223,SaaS软件,78.69839164112223,市场营销,69.45906973924468,沟通能力,61.10974863100393,自主工作规划能力,60.92286562166582,商务公关能力,58.957611891934725,产品功能,58.957611891934725
平面设计师,活动影像拍摄,120.59511523350275,美术功底,110.26560563922742,平面设计用软件,85.05798634131972,Photos,82.73132283958174,平面设计技,80.21062625293867,illustrator,75.92486908441285,美术基础,59.11404857782749,Cdr,58.95761189193468,CorelDRAW,54.25231876905907,创意设计能力,47.21020652771655
新媒体运营/新媒体运营助理,小红书,207.6357274476298,文案功底,207.13159183983623,文字功底,194.46423457443137,移动互联网行业,178.1346996024286,热点感知能力,147.39402972983672,新媒体运营工作经验,139.77223088079924,文案写作能力,130.39706845823446,知识基础,119.52570815160156,各大社交媒体,117.91522378386937,策略思,117.91522378386937
测试开发工程师,Java底,157.98505920560754,scapy,150.07392117947018,理论基础知识,141.40069415016262,测试工作,128.634789582403,python程序,110.20184031577057,设计方法,97.22393907269422,嵌入式软件性能测试,94.33217902709555,C++编程能力,86.60460097229364,基本测试流程,85.75652638826867,测试文档标准,75.33472630636102
电商顾问/电商客服,计算机操作3,88.43641783790204,网络平台,88.43641783790204,跨部门问题协作解决能力,88.43641783790204,基础护肤化妆知识,88.43641783790204,社交控,88.43641783790204,热衷网购,75.8026438610589,主动性销售能力,70.74913427032162,新媒体平台,66.32731337842652,平台规则,65.30577917925213,打字能力,65.21707789968353
硬件工程师,数字电,230.73482796766038,模拟电路,214.6300235914984,Cadenceirun,160.21858912876007,模拟电路设计经验,133.51455693260021,数字滤波器,127.43705705701379,模电/数电基础,120.17341489536527,AltiumDesigner,102.83203063074683,DSP应用,89.51641948804338,ARM平,89.07771366417958,产品需求收集,88.43641783790203
社交媒体运营/抖音运营/微信运营/知乎运营/小红书运营,小红书,61.275298993819916,文案功底,47.98065720066136,移动互联网行业,41.30659700925881,文字功底,37.53805615902691,新媒体运营工作经验,32.75624929394661,热点感知能力,29.47880594596734,运营规则机制2.眼光独到,29.47880594596734,策略思,29.47880594596734,网络化表达,29.47880594596734,准确严谨的微信排版能力,29.47880594596734
