岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,3dsMAX,86.30050477102455,MAYA,54.35193507477334,美术功底,47.22585000355918,Zbrush,33.846223427454916,Unity3D引,24.362448991668792,Photos,21.06045838702357,审美力,20.515745909527787,手绘板绘制,18.43172167345316,设计功底,18.331276772788744,造型功底,16.51485682081255
Android客户端开发工程师,Java底,82.83260072243732,AndroidUI框架,76.44332378495932,Android,72.15773147232527,数据结构,46.911403749085665,AndroidSDK,32.88865218674884,Kotlin语言,29.99440690280745,C++编程能力,23.908655389011745,Android系统3,21.12327625014885,AndroidSD,21.033804326792236,java语言,20.843515680188393
BD经理/业务拓展员,商务运营,17.814470856604927,商务谈判能力,13.737624754355899,市场开拓,12.036251651978993,工作心态,11.984399775244867,多项目并行管理能力,10.4790645288376,热爱销售3.学习能力,9.79795897113271,市场思维能力,9.79795897113271,执业律,9.79795897113271,美妆产品使用,9.79795897113271,英语听,9.729976884709
C工程师/C#工程师/C++开发工程师,C++编程能力,360.5430284618768,数据结构,148.45409280148067,linux操作命令4,107.32684892876333,STL,57.17135642330427,编程习惯,56.84160230577118,c++语言,46.844321515579416,嵌入式Linux开发,46.11688431991965,Windows,44.26602309499848,c1证,42.338546827463766,接触相关DB,39.19183588453087
FPGA开发工程师,FPGA应用开发流程,166.8424058185201,Verilog,108.04569028204389,HDL,91.92442120153264,XILIN,78.60526603793502,Vivado,47.515424439500165,Altera,28.8143866087846,Modesim,28.255698781148954,硬件描述语言,19.595917942265427,DDR,18.571214080487753,ISE,17.513882030765604
IP软件工程师,C++编程能力,149.9974723553929,Java底,90.27640908297256,数据结构,62.54513306424348,C语言程序设计,45.63061771267081,GUI设计,39.19183588453087,嵌入式C开发经验,36.17707927802849,linux操作命令4,32.75830959691215,JavaScript功底,30.83910907977098,net,29.417471369502135,2D图形,26.127890589687247
IT软件开发工程师/IT技术研发工程师,C++编程能力,195.51538097283733,Java底,114.17210131615934,html5css,94.73551374537905,HTMLS,87.12472880375283,数据结构,80.22151116930587,CSS(3),57.15491559970606,JavaScript功底,50.923866500304364,python程序,49.23598927857185,react技术栈,35.17650483667079,linux操作命令4,33.83338844493694
Java工程师/JAVA开发实施工程师,java语言,570.8042116235061,Spring,545.8261542668942,Java底,485.01573482435805,Springboott,349.543367970583,mybati,313.59563261771945,Mysql的设计,221.1259775414823,数据结构,165.89564594207764,springcloud,151.72702768410815,JavaScript功底,131.0552280953561,Hibernate,130.81810634246986
业务定向生/业务管培生/业务品质管培生,汉语交流能力,19.595917942265423,跨文化适应力,17.146428199482244,活动能力,15.921683328090657,亲和؜力,14.0789359661803,语言表达,13.705757743703025,乐于洞察新知,13.472193585307478,沟通协调能力能力,12.048954916997541,勇于尝试新思路,10.891594317380608,应变能力,10.735542815912392,开拓能力,10.70689398226091
产品运营,逻辑思考力,11.343615914824296,组织沟通,10.714074743826048,主动性,10.097882510019083,数据处理功底,10.025177416738007,口译经验,9.79795897113271,B端产品,9.79795897113271,剑网3用户特性,9.79795897113271,社区玩法,9.79795897113271,产品or运营经验,9.79795897113271,全局统筹观,9.79795897113271
产品项目管理/产品助理/产品专员/产品总监/产品VP,axcure,102.55241692049314,自驱力,81.2069493132594,逻辑思考力,57.711528577220655,团队意识,50.807597613503496,Visio,44.18079730462963,XMind,36.892334989015595,沟通能力,30.374349512361462,互联网产品,25.66403773764104,理解力,24.813582379200927,数据分析处理能力,24.788610448355378
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,人力资源六大板块内容,112.08814822343668,人力资源,99.17014186350373,人力资源各模块工作内容,78.38367176906168,基本人力,54.99314294740029,国家政策,52.632263622897604,亲和؜力,45.61335911995883,offic办公软件,45.362836536324174,沟通协调能力能力,34.690801871395706,Excel函,34.50146090455878,沟通表达理,30.69831691930564
仿真应用工程师/仿真工程师,模拟电路,25.26458037584543,C++编程能力,21.24193423152361,软硬件,20.529056891897106,弹塑性力学,19.59591794226543,流体仿真分析,19.59591794226543,PCB设计,16.6132196480551,CFD,15.676734353812344,Nastran,13.063945294843622,CATIA,12.57905149103722,实验设备,11.119618628177621
会计/财会员/结算会计师/建筑会计师/工程会计师/总账会计师/税务外勤会计师,会计制度,42.341179839537794,财务软件,42.16901968102691,财务收支计划,40.8248290463863,资产管理,32.805251238709225,职业操,31.492767615389297,会计法规,24.691447870293707,RMACCA,20.874198382743838,独立学习,19.857313673392884,工作的能力,19.458390304784356,会计报表的处理,18.42526319805154
