岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
硬件工程师,数字电,346.679313222502,模拟电路,223.4695565168755,数字滤波器,211.56829704118675,电路板设计,108.8335534362131,电子元器件选型,94.80734030347385,模电/数电基础,83.78561972228155,电路分析,80.45261452253641,usb,79.52244741654135,硬件基础知识,73.42160361096965,单片机,63.75222547552647
APP开发,数据结构,93.49756908589615,swift,77.38837982200974,c++,65.14679612060972,负责产品有强烈的责任心,51.62116293588194,英语水平,10.628296222048098,抗压性,3.6078148146854487,高度额责任心,1.0247356443092361,解决问题的意识,0.0,,,,
AI开发工程师,c++,47.842178401072765,java语言,27.299700391497865,常用算法,22.48672734851575,计算机基础,22.138511786793437,面向对象思想,21.188684809549954,机器学习,16.691088784159444,阅读英文文档,13.89329742086208,基础算子,13.10154716011502,深度神经网络模型,7.1103682591346,沟通表达理,1.9312152500919018
数据挖掘工程师,python程序,105.8797477894122,java语言,66.2756362751169,机器学习建模,61.270416542411795,统计基础,55.14661303152966,统计建模,49.31691474095555,linux操作命令4,48.90475669482282,云技术,43.85092652801666,统计概率,42.954189957727046,因果分析,40.56784607118666,sas,34.69923174140534
产品管理,宏观经济,67.14769210269851,协调问题,54.56630160956816,产品投入时间,50.92511492095385,复杂仪,50.03838691283464,问题分析,47.492407844131584,交流表达,32.60519887508569,个人学习力,25.462557460476926,英语四级通,21.532447553392576,系统分析,18.99851492752913,洞察力,18.668843900089193
IT运营工程师,态度积极主动,43.27848036895907,时间节点意识,27.706951100970507,沟通表达理,1.2874768333946012,,,,,,,,,,,,,,
C++开发工程师,c++,1509.7909808960715,数据结构,611.8590383947,c1证,271.50318410508356,设计模式,188.45052968331456,tcp,159.479976271878,python程序,132.12843411713015,gdb调试技术,126.72531279202015,代码规范,120.43510807712833,算法基础,116.03678447045577,gcc,107.27993645436977
贷后管理,办公计算机操作,47.90438092899064,电话催,30.675333074456546,sas,28.91602645117112,python程序,20.10665431215907,普通话标准,19.03221594568282,与不同人群沟通,16.95013320561256,电话销售,11.336805117614931,效沟通技巧,10.004910327992617,讲求团队精神,6.780053282245029,抗压性,5.574932892216322
财务BP,基本财务会计知识,13.15043779034719,愿奉献&semi,12.273741937657379,敢挑战,12.127276245577454,会计初级证书,7.890262674208314,组织协调力,6.836112565236007,职业道德,5.863779409780358,职业资格证书,4.714448848472824,懂得牺牲,4.285424434524749,化办公软件,0.6128767807764346,自驱动力,0.36916768255341575
金融分析师,商业洞察力,21.9446196656121,英语四级通,4.680966859433168,效沟通技巧,3.3670371296129007,为人诚信,3.1353877237754357,自信心,2.306137691564413,逻辑思考力,1.6660216098239327,事业心,0.5931984403220176,高度额责任心,0.5123678221546183,极富团队合作精神,0.31089119389834863,大量阅读英文材料,0.0
经济管理,极富团队合作精神,0.9326735816950464,抗压性,0.0,,,,,,,,,,,,,,,,
财务管培生,国家会计法规,48.54115019467197,收政策,44.42372036761132,财务软件,44.16970302102369,国内会计法律法规,35.144588381931364,excel函,35.06815248625864,财务基础,32.27718952977096,财务类专业证书,32.21857258635062,财务软件系统,23.801054225981527,预决算,19.83421185498461,基本会计入账操作,18.410612906486065
电子电气工程师,嵌入式软件架构设计,23.575970220398116,接插件,10.770329614269007,电子产品研发有兴趣,6.449429639963849,新能源汽车动力,5.465579299716502,执行器,3.903985214083216,电子电路原理,3.6379411673746986,处事灵活度,2.519861696714219,多传感器标,1.9098580357220172,沟通表达理,1.0320250807369422,发流程,0.9404122965993612
汽车设计,汽车结构,210.02252296968848,catia,113.16197080386227,装配建模,87.30714645476185,工作原理,83.59999704608676,三维设计开发软件,79.13905973941968,创造性思维,72.08668682492655,设计理论,36.66127389368605,团队精神6,3.6776250377378674,高度额责任心,2.864601914773547,抗压性,2.2412182939712655
服装质量管理,服装的生产流程,41.09024142171867,职业道德,10.471034660322063,语言表达,8.00389514089604,爱岗敬业,3.074732673855422,高度额责任心,0.5337164814110608,洞察力,0.0,,,,,,,,
产品专家,产品新功能,633.7239929180913,自驱力,601.484776267282,团队意识,300.81605341390866,用户服务意识,210.64203511691832,进取心,17.309550700578395,善于倾听,13.225715537364554,人际交往,8.226244384745748,自驱动力,4.983763714471111,驾驶技术,0.0,行驶记,0.0
B超医生,谦虚谨慎,3.0230080331338653,,,,,,,,,,,,,,,,,,
CRP/Medical Physician,听说读写,5.398114896110286,,,,,,,,,,,,,,,,,,
数据管理专员,临床试验经验,116.7357553183842,excel函,96.47262832565126,数据分析工具,24.86102017314909,逻辑推理,24.5220303480598,数据采集,19.545565797783034,ppt操作,15.192125456138386,分析技巧,14.034855550375294,word文档,13.028621329685684,计算机软件,12.480385898140737,洞察力,9.727450242678055
