岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,net,560.8463431408993,创业心态,503.31949336052384,型关系型数据库,370.12507443840695,分布式微服务,325.811342821442,后端系统,307.58413483143124,前后端代码分离架构,296.19212983767454,阿里巴巴,295.7146420628352,云计算工作经验,279.6219407558466,开发语言,215.5756421350568,net开发运维,213.66293448475616
3D培训讲师,时装设计,854.4003745317532,绘画功底,517.9601113380569,美术基础,206.7502985323153,极富团队合作精神,0.0,,,,,,,,,,,,
3D客户端开发工程师,数据结构,0.0,,,,,,,,,,,,,,,,,,
3D设计/建模,基础设计理论,1913.8568389511267,美术功底,1630.7717272816883,blender,1251.9969953686248,人体解剖结构,1239.2574774040522,数理功底,1100.2671745509365,设计技巧,1091.1524359559214,手绘板绘制,998.0494345289901,审美力,997.0512267091311,组合分析,991.1044344568337,造型功底,979.2839156387548
5G技术开发,linux开发,562.7650466915813,脚本语,448.2480643518239,算法更优,290.4961273407961,关键算法设计,175.7623627608178,产品开发,159.4109815953045,git操作,114.36707084175725,python程序,53.19560169808734,专业知识,9.345124439479621,车辆驾驶证,6.127359525449535,通信系统,5.250224059855511
AE客户执行,广告营销,854.4003745317534,32位单片机,359.47175986392614,单片机,296.7231603712169,精细化个人工作经验,273.4081198501609,模拟电路,241.02959238754707,团队工作效率,227.84009987513411,客户心理,227.52708750739077,充电管理,212.65075988345856,审美水准,212.37485964787902,自动控制理论基础,204.2993867746829
AI图像处理工程师,caffe,215.9967021209843,接受新知识,122.43722046483424,维护软件测试流程,90.68362161324082,测试相关文档模版,45.34181080662039,python程序,34.45868935908491,,,,,,,,,,
AI开发工程师,caffe,1018.7918898115956,产品研发的方法论,991.1044344568337,yolo算法,717.6963146066727,全流程项目管理,660.736289637889,python程序,554.4532106790396,pillow,512.640224719052,深度学习算法,472.34758636073633,机器学习,433.4191483476376,dicom协议,410.11217977524154,海量数据处理,397.4570514598669
AI数据工程师,语言学,538.7469028297444,自然语言生成,302.8299302740029,责任感6,29.129636101755057,抗压性,24.05149354605961,perl一种,20.961978605588232,执行力,17.85546066093022,python程序,0.3589446808238027,脚本语言,0.0,,,,
APP开发,负责产品有强烈的责任心,932.2186493124206,swift,673.5186802611446,数据结构,231.60888449734622,英语水平,157.4087165368825,抗压性,18.03862015954472,高度额责任心,10.495907514659624,解决问题的意识,0.0,,,,,,
APP设计师,互联网运营实习经验,1134.8673379789384,用户理解,754.7203308363821,洞察力,109.01307632441575,逻辑思考力,66.2027441806764,自驱动力,41.25575724230764,抗压性,3.340485214730507,行业动态,0.0,,,,,,
ARM开发,积极主动,257.6219591175895,逻辑思考力,171.96790532778846,团队意识,114.62160861032423,自驱力,44.15794124120951,高度额责任心,14.759869942490091,侵略性,0.0,,,,,,,,
Android培训讲师,android,2036.8853041062475,java语言,1183.2054638685136,面向对象的设计思想,944.3918278609385,数据结构,784.2679277623391,第三方人力,674.2904305618647,androidstudio开发工具,615.1682696628625,系统组件,561.6753766487005,网络基础,505.24435014988035,开发架构,454.6895906203765,常用开发组件,447.39510520935454
BD经理,市场拓展素质,228.9587873620498,交际技巧,206.28178069226192,国外客户进行交流,205.05608988762077,沟通表达理,165.24568120815195,反映敏捷,151.85153715344336,大局观念,148.46279783423682,市场分析,138.2754238134926,商务谈判,111.97720186033418,工作热情,76.29534983195381,组织协调力,62.88266027212323
BIM工程师,revit,974.0164269661987,设计规范,707.1602282556572,耐心细心,604.3072486423792,navisworks,205.05608988762077,抗压性,33.070803625831964,团队意识,0.0,意愿度,0.0,,,,,,
B超医生,谦虚谨慎,38.680166228739594,,,,,,,,,,,,,,,,,,
C++传感器仿真工程师,生产质量,911.5576384561934,整车质量意识,649.5623308046686,摄像头,554.032991402988,零配件,500.11544704207273,多目标匹配算法,328.08974382019323,压力传感器原理,273.40811985016103,理论知识,247.23376014989535,gnss,224.18143968996236,毫米波雷达,209.15173457308558,imu,207.935843826597
