岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
C工程师/C#工程师/C++开发工程师,数据结构,148.45409280148067,linux操作命令4,107.32684892876333,windows,61.658724056964424,c++语言,46.844321515579416,gcc,44.60926215015482,c1证,42.338546827463766,python程序,35.9492115521986,设计模式,34.20129427807933,桌面软件开发项目,31.88790283332284,gdb调试技术,31.046006034219964
IP软件工程师,数据结构,62.54513306424348,linux操作命令4,32.75830959691215,net,29.417471369502135,程序语言,25.12476621883318,typescript语法5,24.508060163855898,stm32,24.49489742783179,逻辑分析解决问题,22.290356659326925,python程序,22.056801138357883,lua,21.581634706281974,android,17.993073407660166
IT软件开发工程师/IT技术研发工程师,html5css,94.73551374537905,数据结构,80.22151116930587,python程序,49.23598927857185,react技术栈,35.17650483667079,linux操作命令4,33.83338844493694,net,27.606059952760702,算法基础,27.58161902946193,linux操作系统,21.697522576247472,计算机技术基础,20.908723432302533,java语言,17.269815245405763
Java工程师/JAVA开发实施工程师,java语言,570.8042116235061,mybati,313.59563261771945,数据结构,165.89564594207764,springcloud,151.72702768410815,多线程处理,123.48852288541563,html5css,109.67040725805941,设计模式,87.9952887194279,redis,81.6411979661328,linux操作命令4,69.16922547561089,分布式系统的设计,59.68424974340811
产品项目管理/产品助理/产品专员/产品总监/产品VP,axcure,102.55241692049314,自驱力,81.2069493132594,逻辑思考力,57.711528577220655,团队意识,50.807597613503496,产品设计,26.533055872834108,互联网产品,25.66403773764104,理解力,24.813582379200927,同理心,23.64116669337905,分子克隆,20.010158416890857,竞品分析,19.922516574636514
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,人力资源六大板块内容,112.08814822343668,人力资源,99.17014186350373,人力资源各模块工作内容,78.38367176906168,基本人力,54.99314294740029,国家政策,52.632263622897604,亲和؜力,45.61335911995883,offic办公软件,45.362836536324174,沟通表达理,30.69831691930564,人力资源工作,29.424449405272778,化办公软件,28.64802632638332
农业管理储备员/农业管理储备干部,强烈成功欲望,85.67445837274235,目标敏感,67.71597511442208,团队协作意识,54.62748978311103,offic办公软件,25.76088382915305,抗压性,17.457279442245426,直面困难,15.396792668922838,党员+学生干部,9.797958971132715,各类产品知识,9.797958971132715,饲料行业采购,9.797958971132715,外贸saas,9.797958971132715
前端开发工程师/前端工程师/客户端工程师,html5css,989.5396472774847,react技术栈,477.3295201704231,es6,151.99921457773831,数据结构,150.3513697888327,typescript语法5,109.18043000967174,webpack,101.60394790995407,ajax,90.86706479743363,计算机基础,83.32976574805492,页面架构,75.6186447796789,json,67.03273415592801
功能测试工程师/性能测试工程师,理论基础知识,79.71247254721213,测试方法,58.88904081151396,测试理论,53.58058073953507,python程序,50.713070157307,测试流程,42.504355712178736,软硬件测试流程,40.93349329746786,selenium,35.61686163901787,linux操作命令4,34.91695364179599,软件测,32.795277375623805,软件测试一般方法,26.12789058968722
商务总监/商务经理/商务专员,销售思维,52.01473536134289,商务谈判,49.87717856607517,正形象气质,25.67212700244195,领导力,22.022206856184702,高效执行力,19.59591794226542,社会实践经历,17.686038859777153,清晰的职业规划,16.376411652863965,化办公软件,14.867459001237831,ppt操作,14.658951276032376,逻辑性,14.5572062801338
客户代表/大客户代表/客户经理,敬业务实,39.19183588453084,进取心,27.599400347049357,勤奋努力,24.316842396924187,市场营销,22.57412674409584,管理潜质,21.632517289530206,谈判技巧,19.841626012673373,攫取欲望,17.225716397410473,大客户管理,17.19729262849157,用户服务意识,16.957536790148893,年轻人,15.676734353812336
