岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,美术功底,47.22585000355918,手绘板绘制,18.43172167345316,设计功底,18.331276772788744,审美力,17.73777163238999,造型功底,16.51485682081255,镜头感觉,15.484475394425862,怪物的动作,15.241269510650888,手绘板绘制4,13.530514769659462,基础动画运动规律2,12.136528177907707,c4d,11.112311469854246
3D设计师/3D建模师,美术基础,16.43398783897368,三维软件操作,9.797958971132712,造型功底,8.527965184732546,相关软件,7.804597965652663,动画贴图,6.998542122237652,人体解剖结构,5.7548949115926975,审美力,5.0157868892765745,手绘板绘制,4.886158712458289,设计功底,4.489292270887039,美术功底,4.263444791987982
AI开发工程师,caffe,34.65519460001586,数据结构,32.695033634115624,深度学习算法,22.04104564922621,python程序,19.252115618930826,yolo算法,17.0399286454482,swift,15.749581740064894,图像处理,15.453152832245909,负责产品有强烈的责任心,14.906535273513251,学习算法,13.499111537233924,pillow,11.92795005181374
AI数据工程师,组合分析,9.797958971132715,语言学,8.573214099741126,逻辑回归,6.513771989508166,自然语言生成,6.282448166188456,深度神经网络模型,5.989312034594247,数据挖掘算法,4.720846183162104,大规模数据挖掘,4.522134909753559,数据结构功底,3.889070767278906,决策力,3.416486485251565,机器学习,2.2657641085273226
Android客户端开发工程师,android,73.03349680781767,数据结构,64.98139899358097,swift,41.03354569324149,java语言,20.84351568018839,代码结构,20.171727021849865,算法基础,16.504609056526863,http协议,15.633867619206734,usb,15.513435037626797,设计模式,15.00048374469554,编写应用文档,14.913890048662214
BD经理/业务拓展员,美妆产品使用,29.39387691339813,核心功能成分,25.36971519311148,单品的初衷,20.120808601433247,市场开拓,12.036251651978995,方式5,11.19766739558024,商务谈判,10.580007574622005,运营分析,9.79795897113271,文字编写,9.79795897113271,执业律,9.79795897113271,英语听,9.729976884709
BI工程师,数据模型设计方法,9.797958971132712,服务器,8.680704016773932,三层网络协议,8.016511885472218,态度积极主动,7.348469228349534,系统接口知识,6.531972647421809,路由器的配置,5.643787525633242,网络维护,5.401359959406598,图形硬件架构,5.3968097930997665,officeword,5.344341256981479,故障处理,5.173380913829028
CAD设计师/CAD制图师,愿意往技术,4.898979485566357,工作方向发展,0.0,,,,,,,,,,,,,,,,
CTA/临床试验助理,时间管理推,9.816775497013246,信息化设备,6.998542122237653,口头表达流利,4.354648431614542,ppt操作,2.0817445599099234,offic办公软件,1.0910491974700118,抗压性,0.867750442717685,服务意识足,0.8402720916014375,高度额责任心,0.6842746715479582,语言表达,0.0,文字功底,0.0
ERP实施顾问,财务管理流程,6.531972647421808,行业销售,6.295980100305513,文档撰写,5.650416523977029,ppt操作,2.7756594132132304,品德端正,2.691428556408724,服务意识足,1.9606348804033544,高度额责任心,0.8278878742185174,极富团队合作精神,0.0,抗压性,0.0,,
HRBP,人力资源管理专业知识,28.88387371974811,同理心,17.68816212853073,商务谈判,10.076197690116196,学习反思,9.79795897113271,人力资源日常管理工作流程,9.79795897113271,人力资源相关,9.79795897113271,组织协调力,9.472652654378532,职业期待,9.098104758908946,目标敏感,8.70122129210261,法律专业知识,7.596792541143543
Python开发工程师,python程序,58.64129310882308,数据结构,31.67646344462001,tornado,23.279872753832198,linux操作命令4,18.877117108484587,numpy,16.297186321310523,scrapy,16.038325696794626,scipy,14.230368981883231,pandas,13.95546030140927,机器学习,13.023218049883134,http协议,12.507406872554546
QA/质量保证工程师,职业道德,1.818310500552059,工作责任心,1.0500588980273347,解决问题的意识,0.9575594668877649,组织协调力,0.8372294012708299,,,,,,,,,,,,
QC/质量控制工程师,高分子材料,5.83168186200253,合同管理专业知识,3.7703960237468297,网络知识,2.151199411296258,高度额责任心,1.0644272668523795,,,,,,,,,,,,
SEM/搜索引擎营销员,ppt操作,0.7806542099662211,创造力,0.6426941871828918,高度额责任心,0.0,,,,,,,,,,,,,,
UI设计师,illustrator,72.05869683830905,美术功底,62.81475326862294,审美力,42.083003186402905,figma,40.7398887827008,视觉设计,39.680716586378466,专业美术基础,29.393876913398138,sketch设计工具,29.393876913398138,设计要点,22.943634952064503,美术基础,22.53928264082974,产品交互,21.297885437878517
iOS客户端开发工程师,swift,57.384673958100535,代码结构,34.29978485816495,数据结构,32.62857219912144,产品需求,13.674777858767966,ios基础功能开发,12.614951740020707,算法基础,9.808005016220937,命名规范,9.593833311927584,架构设计,8.698684162818262,json,7.243594729904984,设计功底,7.214934006782741
临床监查员/CRA,国家药物临床试验管理规,9.797958971132715,理解力,7.724679550460726,药品临床研究项目管理,6.998542122237653,临床试验经验,6.918442884503549,整个流程,5.5988336977901225,临床项目管理,3.367572401698954,时间管理推,3.155392124039972,口头表达,2.2192558122312676,逻辑思考力,1.6109277038803735,表达沟通,1.5217150282992231
买手,数据收集分析,9.797958971132715,周边山区26县,9.797958971132713,工作积极性,7.76031555278134,运营的思路,3.7460810251655494,高敏感度,3.616292941730332,市场敏锐度,3.3543204930669694,工作的统筹规划4,3.2659863237109046,数据变化敏感度,2.523553029643393,文字功底,1.8783948394639816,创业精神,1.2172083013874802
二手车评估师,普通话标准,1.9406405036173737,,,,,,,,,,,,,,,,,,
交互设计师,用户体验原则2,18.052421074842567,交互设计方法,17.962924780409974,设计知识,9.797958971132713,服务设计意识,9.797958971132713,移动端用户体验,9.797958971132713,图标设计,8.16496580927726,技巧3,8.16496580927726,figma,8.147977756540161,行业视野,7.838367176906171,android,6.618576660726283
产后康复师,康复证书,9.797958971132712,,,,,,,,,,,,,,,,,,
产品运营,互联网游戏,19.59591794226542,客户视角,16.329931618554518,合规意识,14.792785796694895,文案功底,14.299956840996694,互联网运营实习经验,13.777746791439597,游戏经验,11.603869502361473,组织沟通,10.714074743826048,互联网产品,10.519367617236375,逻辑思考力,10.437469081391587,主动性,10.097882510019083
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,语言沟通,7.099392829056767,纪律性,1.325404113906708,逻辑思考力,1.057171305671495,高度额责任心,0.5987403376044635,服务意识足,0.18380952003781445,,,,,,,,,,
仓储运营专员,系统逻辑,19.595917942265434,英文读写,5.869207016593273,创新精神,1.9308192360826335,沟通交互,1.8461673271952308,协调沟通,1.469284720280199,offic办公软件,1.2728907303816803,自驱动力,1.019355156156435,逻辑思考力,0.60409788895514,高度额责任心,0.5322136334261898,抗压性,0.3471001770870739
仓库文员,沟通反馈意识,11.605850134401939,文字编辑,10.056244511789458,中专及以上2,9.797958971132717,单cad,9.797958971132717,办公室行政工作流程,9.797958971132713,公文写作格式,9.797958971132712,offic办公软件,8.167715519949116,化办公软件,7.47529067239499,人际洞察力,7.326857435347725,室行政管理知识,7.251427419987631
仓库管理员,积极进取,6.043894062389545,仓库管理知识,3.265986323710906,数字敏感性,2.608962446551629,财务知识,2.042616085422663,offic办公软件,1.2728907303816803,高度额责任心,1.153129539090078,协调沟通,0.0,电脑操作即,0.0,,,,
企业文化管理员,文件管理,9.79795897113271,脚本撰写,9.098104758908947,视频制作软件,6.46966550411702,沟通协作,4.912064148037866,爱剪辑,4.911580878216805,沟通协调意愿,4.4651460567085515,正形象气质,3.592283495748061,平面设计用软件,3.4993017406738853,文字功底,2.629752775249574,积极的心态,2.486760577255217
传菜员/服务员/配菜打荷员/送餐员,17-30周岁,6.260113121571643,170cm,4.642207913036123,160cm,3.406798586509236,三观正,1.908844624482826,普通话标准,1.164384302170424,身材好,1.0418086131729334,服务意识足,0.5881904641210063,团队意识,0.3403922634817589,语言表达,0.0,,
供应链管理员,自律性5,39.19183588453085,进取心,9.960257901495728,基础统计,9.797958971132713,沟通表达理,9.719919415466311,勇于尝试新思路,8.713275453904487,绪控制力,8.573214099741124,事业心,8.005167378844561,开拓进取,7.661724919811844,新方法,6.534956590428365,6must,6.063694709610431
保险核保员/保险理赔员,商务谈判,7.053338383081337,电子商务业务销售技巧,1.7890701587892857,销售知识,1.2985234666863636,语言表达,1.1714322857865833,逻辑思考力,0.9665566223282241,高度额责任心,0.10644272668523792,,,,,,,,
保险精算师,数理统,9.79795897113271,大数据分析,0.0,,,,,,,,,,,,,,,,
信用卡销售,敬业度,3.7577680185606277,责任感6,1.2239843414196498,抗压性,0.0,,,,,,,,,,,,,,
信贷管理员,口齿清晰,4.144319007189209,普通话标准,3.68721695687301,进取心,2.9216756511054136,性格坚韧,2.845369298007996,商业信誉,2.7387278113276805,国内外资本市场,1.288580415540518,承压力,1.0677103899371894,事业心,0.8005167378844562,极富团队合作精神,0.6297336602515874,高度额责任心,0.5322136334261898
健康顾问/医美咨询人员,在线沟通工具,9.797958971132712,普通话标准,1.617200419681145,极富团队合作精神,0.17492601673655203,抗压性,0.0,,,,,,,,,,,,
养发师,利润思维,8.663591496498658,普通话标准,1.9406405036173737,学习力,0.7608895443426849,执行力,0.6525089978240284,,,,,,,,,,,,
内容审核,论坛管理,5.715476066494082,英语6级,3.6978600598270153,突发事件,2.0575185927611748,普通话标准,1.9406405036173737,英语四级通,1.8613703837488047,抗压性,0.0,,,,,,,,
内容策划人员,各大投放渠道,9.79795897113271,中英文沟通,7.205004681479014,撰写文章,6.858571279792897,170cm,4.642207913036123,复杂的技术概念,3.919183588453084,技术理解力,3.5669008927604877,160cm,3.406798586509236,三观正,1.908844624482826,身材好,1.0418086131729334,执行力,0.6525089978240284
内容运营,知识基础,39.19183588453084,阅读量大,37.01918166453764,文字编辑功底,33.88502391646085,思想成熟,26.385424483100113,非文学类书籍阅读基础,23.515101530718503,文字功底,20.934412327915048,公众号运营,17.59813099681104,新媒体,17.2275005005247,宏观思维,16.846490185356572,数据处理功底,15.5947204260369
农业管理储备员/农业管理储备干部,强烈成功欲望,69.35551392079142,目标敏感,55.77312236055575,团队协作意识,54.627489783111024,半年以上车间实习经验,39.19183588453086,offic办公软件,25.397200763329714,抗压性,21.305697030669986,沟通表达理,21.063781411335107,宏观经济,20.88675307193881,社会实践经历,17.686038859777153,领导力,17.55324616407186
农艺师,组织协调力,1.2558441019062447,,,,,,,,,,,,,,,,,,
出版发行员,高度额责任心,0.21288545337047593,极富团队合作精神,0.20991122008386243,抗压性,0.0,,,,,,,,,,,,,,
创意策划人员,文案写作,57.215920703339435,创意策划,6.203156654166987,阅片量丰富,6.174154880025905,思维活跃,4.633414001236808,勇于挑战固,3.9067463056101164,知识面广,3.8455572602673254,设计功底,3.741076892405866,细节控,3.5628941713209854,文字功底,3.244500177255968,洞察力,3.0643279348831554
前厅经理/酒店经理/酒店管理人/酒店前台,预订资料,9.797958971132713,护士执业资格证,6.813720849889933,以上文化程度,5.918843522894093,操作office,3.836553146939471,服务意识足,3.6026665927411634,头脑灵活,2.581519105239661,普通话标准,2.4951092189366233,工作负责,2.227933924829966,亲和؜力,1.7588100185978996,化办公软件,1.2387910555190893
前端开发工程师/前端工程师/客户端工程师,物联网,9.797958971132712,基本数据结构,7.600510445338764,工作精神,6.531972647421808,windows的消息机制,4.898979485566356,游戏常识,3.2639772423016513,面向对象分析,2.7433733161244573,开发经验,2.5081126722945064,用户服务意识,2.2773455994269964,逻辑思考力,1.9331132446564483,编码风格4,1.6329931618554516
剪辑师,抖音深度用户,14.696938456699067,审美力,11.536309845336122,各种视频,11.022703842524301,审美风格2,9.797958971132712,短视频玩法,9.797958971132712,摄技巧,9.797958971132712,镜头的把控,9.044269819507118,视频混剪,9.009106255555666,运镜与转场的处理,8.290580667881525,沟通水平,8.16496580927726
动物实验技术员,英语阅读,4.531933087895007,工作负责,1.113966962414983,团队合作精神责任心,0.0,身心健康,0.0,,,,,,,,,,,,
动画设计,3d动画制作,15.042151163973248,匹配分析,14.696938456699069,mg动画视频的制作,13.829728346667014,c4d,10.565363379756526,spine,10.455265511881391,审美2,9.797958971132713,常见物品运动规律,9.797958971132713,动画基础,9.09810475890895,动画制作,8.398250546685183,文字转化,8.22637979164643
包装设计师,立体设计美学,19.595917942265427,主流包装工艺,19.595917942265427,包装视觉设计,17.418593726458155,材质特征,17.418593726458155,设计基础,16.796501093370367,印刷流程,15.241269510650888,业法律法规,13.063945294843618,各类设计软件,11.197667395580243,审美品味,10.092558575485382,互联网快速迭代开发的模式,9.797958971132712
化妆师/化妆师助理,室内设计流程,9.797958971132712,灵敏快捷的人,3.265986323710904,思维灵活,2.172196959650292,,,,,,,,,,,,,,
化工项目经理,英语四级通,1.8613703837488047,极富团队合作精神,0.6297336602515874,offic办公软件,0.254578146076336,高度额责任心,0.21288545337047593,,,,,,,,,,,,
医务管理,风险防范意识,42.818770000088726,工作态度,32.14259455684232,创新意识,21.937173637328414,1年以上法,9.797958971132712,关系维护,8.709296863229074,英语四级证书,6.349462263280321,文控体系建设,4.453617714151233,课程学习成绩,4.209731009927155,工作主动性,3.850178442620063,正形象气质,3.592283495748061
医学信息沟通专员/医学信息沟通顾问,诚实踏实,19.595917942265423,抗感染药品,9.32981633708069,组织协调力,9.209523413979127,适应性,7.663531690816169,与人沟通,4.337111509575754,外延产品知识,3.5689279721576574,业务敏感度,2.69743106486328,道德标准,1.959591794226542,沟通表达理,1.5119874646280926,解决问题的意识,1.4363392003316473
医疗器械售后工程师,用户服务意识,2.562013799355371,工作责任心,0.0,,,,,,,,,,,,,,,,
医药代表/医药销售员,职业操,15.986057106710298,工作独立性,8.84824928119457,沟通表达理,2.6999776154073087,组织协调力,2.5116882038124895,人际交往,1.97221670735278,积极主动,1.739576640650045,执行力,1.3050179956480568,与人沟通,1.239174717021644,语言表达,1.1714322857865833,抗压性,0.2892501475725618
医药项目经理/医药产品经理,商业思维,9.53245557102042,信息搜集,5.015593284874548,业务敏感度,3.853472949804686,分析解决问题,1.4966517632301564,化办公软件,1.2387910555190893,抗压性,0.12396434895966932,极富团队合作精神,0.0,,,,,,
单片机工程师,数字滤波器,9.494429536809267,测量仪器,8.16496580927726,模拟电路基础,7.3509787622717155,单片机内部结构,5.715476066494082,电路问题,4.898979485566357,spi,4.5341107489865315,详细设计,4.453617714151234,硬件知识,4.442322577389286,单片机,3.9023722056521373,代码写作习惯,3.734447934665848
发型师/美发学徒,分子生物学技能,6.976261750394745,中英文沟通,0.0,,,,,,,,,,,,,,,,
可靠度工程师,相关性分析,9.797958971132713,数据统计软件,6.9985421222376525,面向对象的程序设计,4.92669108628248,hbase,4.547134049061179,minitab,4.118087836595716,算法基础,3.3799894209746,数据结构,3.2549663922944605,机电产品结构原理,1.3997084244475309,kafka,1.3277153194045213,python程序,0.9308698138400788
后勤/总务,offic办公软件,1.2728907303816803,,,,,,,,,,,,,,,,,,
后期制作,合成软件,8.709296863229078,调色软件,7.620634755325442,color,6.531972647421808,premiere,3.124786168697927,逻辑性,0.0,影视公司影视包装,0.0,,,,,,,,
咖啡师,咸点的制作,9.797958971132713,极富团队合作精神,0.41982244016772496,服务意识足,0.29409523206050303,工作激情,0.0,,,,,,,,,,,,
