岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,3dsMAX,141.30175391122285,MAYA,107.41256014220374,美术功底,90.62351760316997,Zbrush,69.22248895244867,设计功底,49.716539908373896,美术专业基础,46.50706562946307,怪物的动作,45.85592036039367,镜头感觉,43.64670071502636,Unity3D引,41.246925381799706,手绘板绘制4,40.70882725871682
Android客户端开发工程师,AndroidUI框架,164.1300307600394,Android,147.52381321759586,Java底,124.52850808168103,AndroidSDK,94.41256555720773,Kotlin语言,61.43774438764388,数据结构,60.84472637637605,AndroidSD,60.00990011530714,Android系统3,53.14915622237645,MVP,51.09659697301006,Android项目,49.83321957532576
BD经理/业务拓展员,商务运营,53.59782899266789,工作心态,45.14444920938804,市场开拓,32.7039675332711,英语听,32.49561094452331,商务谈判能力,30.44946498643888,美妆产品使用,29.47880594596734,市场思维能力,29.47880594596734,执业律,29.47880594596734,热爱销售3.学习能力,29.47880594596734,办公软件3,29.039614091345573
C工程师/C#工程师/C++开发工程师,C++编程能力,406.9661889409251,数据结构,192.54697011993125,linux操作命令4,159.4103772724732,c1证,159.332929178701,STL,135.08760383286696,接触相关DB,117.91522378386941,桌面软件开发项目,95.94011389687556,Windows,91.81837686163891,gdb调试技术,90.2370092144496,gcc,89.84736923360647
FPGA开发工程师,FPGA应用开发流程,278.72686237149105,HDL,222.95553967341323,XILIN,209.26642640062767,Verilog,193.22654631342408,Vivado,138.06451838599736,Altera,68.70379708321744,Modesim,64.96854319813191,硬件描述语言,58.9576118919347,ISE,55.79174006215167,Intel系列FPGA开发经验,49.13134324327891
IP软件工程师,C++编程能力,169.31099718019007,Java底,135.71934769674465,GUI设计,117.9152237838694,嵌入式C开发经验,108.84482195434099,C语言程序设计,93.3412702826138,数据结构,81.12188515659368,net,80.34731075391778,2D图形,78.61014918924627,程序语言,75.59208096144486,CANOE,72.75203840927021
IT软件开发工程师/IT技术研发工程师,C++编程能力,220.6897462788192,Java底,171.6435475579681,数据结构,104.04838709800804,html5css,101.78076631505814,HTMLS,91.99814619897286,J2EEJ,84.5203964851771,编程语言,75.50179617729859,net,75.39984147023878,python程序,69.35897524976177,计算机技术基础,65.00159591014666
Java工程师/JAVA开发实施工程师,java语言,1331.4921634906825,Spring,1051.6082958634859,Java底,729.1608053718531,Springboott,724.6791209926783,mybati,706.0744152425801,springcloud,432.3343711051881,Mysql的设计,350.13422764695025,Hibernate,285.144855532,JavaEE开发基础,265.0346107526034,J2EEJ,240.53164124084626
业务定向生/业务管培生/业务品质管培生,汉语交流能力,58.9576118919347,跨文化适应力,51.58791040544286,活动能力,47.90305966219694,乐于洞察新知,40.533358175705104,内外贸业务流程,29.47880594596735,货物交付情况,29.47880594596735,灵活机敏,29.47880594596735,敢打陌生电话,29.47880594596735,外贸进出口流程,29.47880594596735,速记能力,27.211205488585247
产品运营,组织沟通,42.93556489782099,口译经验,29.47880594596735,食品饮料,29.47880594596735,全局统筹观,29.47880594596735,语言文字表达,29.47880594596735,经营分析,29.47880594596735,JLPTN,29.47880594596735,钢琴演奏能力,29.47880594596735,B端产品,29.47880594596735,社区玩法,29.47880594596735
产品项目管理/产品助理/产品专员/产品总监/产品VP,自驱力,224.78742221005916,axcure,218.65026735806603,Visio,113.99073781238232,团队意识,103.88117033946247,逻辑思考力,98.14658785882776,XMind,82.34823097121668,互联网产品,70.51195735522302,沟通能力,66.98491337633786,竞品分析,59.940238756800255,offer知识,58.957611891934725
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,人力资源六大板块内容,324.7675093880548,人力资源各模块工作内容,235.83044756773887,人力资源,220.14659211440403,国家政策,161.30157381801283,基本人力,128.48508127688075,人力资源工作,108.03014845237232,团队合作精神抗压能力,95.1101634918001,offic办公软件,91.24833898657103,人力资源管理各项实务的操作流程,84.40307863123937,人力资源相关资格证书,78.61014918924621
仿真应用工程师/仿真工程师,软硬件,61.76511722012205,弹塑性力学,58.95761189193467,流体仿真分析,58.95761189193467,模拟电路,58.392744960235056,PCB设计,57.513438771823445,CFD,47.16608951354774,Nastran,39.305074594623115,流体仿真设计软件,29.478805945967334,TRNSYS,29.478805945967334,Altair,29.478805945967334
会计/财会员/结算会计师/建筑会计师/工程会计师/总账会计师/税务外勤会计师,财务收支计划,122.82835810819734,会计制度,119.54123747894728,资产管理,92.27703244357848,职业操,87.82126909375356,RMACCA,68.30333934594127,独立学习,66.53530734003563,财务软件,57.509932366867204,会计法规,51.78421271748734,反应能力,51.20786501874206,CMA证书,49.13134324327894
农业管理储备员/农业管理储备干部,强烈成功欲望,203.10702588511927,目标敏感,147.0315511263511,团队协作意识,124.95121068375413,offic办公软件,51.818581899171285,英语运用能力,48.6155026228167,直面困难,46.323837915091545,学习能力,45.873586904484895,沟通能力,31.579493105541157,抗压性,29.909966120947004,基本运力知识,29.47880594596735
前端开发工程师/前端工程师/客户端工程师,CSS(3),1063.6343834783365,html5css,1063.1293336280387,HTMLS,942.6117285092263,Vue技术,636.976912108554,JavaScript功底,629.4098684370608,react技术栈,587.6997407696175,负责UE4,498.68075999604633,Java底,212.82877732477644,typescript语法5,205.277151674664,jQurey,201.22919372501988
功能测试工程师/性能测试工程师,理论基础知识,105.49948148000091,测试理论,102.1719247505471,测试方法,94.64394927535211,软件测,86.76570973847456,Java底,85.87735320660998,软件测试一般方法,78.61014918924626,python程序,71.4397461982329,selenium,65.80709915585065,测试流程,60.2232656080958,Jira,59.073862426578536
售前工程师/售前技术支持/售前客服,软件系统,324.2668654056407,组织架构,180.02021002873084,云计算相关概念,147.39402972983675,通信网络技术,126.3377397684315,形成解决方案,95.92115576420659,计算机网络,88.70264072956779,技术讲解交流能力,84.22515984562098,大数据处理,56.734071881052756,客户沟通4,42.11257992281049,文案能力,36.75152165469241
