岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,3dsMAX,85.08630749710072,MAYA,56.50864420295508,美术功底,47.22585000355918,Zbrush,33.846223427454916,Unity3D引,31.942549433940375,Photos,21.060458387023573,手绘板绘制,18.43172167345316,设计功底,18.331276772788744,审美力,17.73777163238999,造型功底,16.51485682081255
Android客户端开发工程师,Java底,77.14579987309433,AndroidUI框架,76.44332378495932,数据结构,64.98139899358097,Android,45.564074626172065,swift,41.03354569324149,AndroidSDK,32.88865218674884,Kotlin语言,29.994406902807448,C++编程能力,29.31628772094803,编程习惯,23.90176241511549,iOS开发,22.661214446061756
UI设计师,Photos,92.79182737985424,illustrator,72.05869683830905,Skecthup,67.09361728184811,美术功底,62.81475326862294,审美力,42.083003186402905,figma,40.7398887827008,色彩感觉能力,35.19089098461856,专业美术基础,29.393876913398138,sketch设计工具,29.393876913398138,Andriod系统设计规范,24.494897427831784
产品运营,互联网游戏,19.59591794226542,客户视角,16.329931618554518,合规意识,14.792785796694895,文案功底,14.299956840996694,互联网运营实习经验,13.777746791439597,数据分析处理能力,13.249061002640154,学习能力,12.821806931167375,书面沟通能力,12.284698661726118,游戏经验,11.603869502361473,组织沟通,10.714074743826048
内容运营,营销-策划-推广能力,39.19183588453084,知识基础,39.19183588453084,阅读量大,37.01918166453764,文字编辑功底,33.88502391646085,思想成熟,26.385424483100113,非文学类书籍阅读基础,23.515101530718503,内容能力,23.383049523350174,文字功底,20.934412327915048,公众号运营,17.59813099681104,新媒体,17.2275005005247
农业管理储备员/农业管理储备干部,强烈成功欲望,69.35551392079142,目标敏感,55.77312236055575,团队协作意识,54.627489783111024,学习能力,43.72798381236323,半年以上车间实习经验,39.19183588453086,offic办公软件,25.397200763329714,沟通能力,23.99544670550851,英语运用能力,22.37916367839182,抗压性,21.305697030669986,沟通表达理,21.063781411335107
商务司机,普通话标准,15.847583991408746,应变能力,14.391514106757018,资源拓展整合,12.509072018354665,口齿清晰,12.432957021567626,知识学习,9.79795897113271,客情维护能力,9.79795897113271,项目公关,9.79795897113271,性格坚韧,9.689857926838199,开发新客户,9.292058740931935,乐观主动,9.088852959902042
商务总监/商务经理/商务专员,销售思维,52.01473536134289,商务谈判,29.422497255139287,出发思考,16.316450636503674,协作精神,13.98283236049879,进销存系统,13.880441875771337,沟通交互,12.307782181301539,职业素质,12.19001613380831,逻辑性,10.172341525968147,商务沟通谈判能力,9.79795897113271,医药专业背景,9.79795897113271
客户代表/大客户代表/客户经理,敬业务实,58.78775382679626,基本素质,58.78775382679626,输出能力,36.0672308266222,年轻人,31.35346870762467,亲和؜力,29.273919246712232,爱岗敬业,29.16016825917845,进取心,29.093439032273714,沟通能力,27.71025250271279,口齿清晰,26.24735371219832,SaaS软件,24.66415764822588
平面设计师,美术功底,57.46176147423802,Photos,56.40783784240868,illustrator,49.39424444568441,平面设计用软件,46.121660967202956,活动影像拍摄,40.08255942736108,平面设计技,34.49577553085607,美术基础,24.781410233373013,CorelDRAW,22.171131157599213,Cdr,19.595917942265427,主流设计软件,19.595917942265427
