岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
3D设计师,3dsMAX,61.596537030007326,MAYA,35.14963120527271,美术功底,34.64713590969897,Zbrush,19.432408919172563,设计功底,15.614393709717683,审美力,14.172882871006708,手绘板绘制,13.992925430382025,Photos,13.663300801972516,Unity3D引,12.180929240300182,造型功底,10.131073734553233
Android客户端开发工程师,Java底,76.7383750865392,AndroidUI框架,43.75247066918351,数据结构,41.88800403168652,Android,31.488156529144746,Kotlin语言,19.31608806091987,C++编程能力,18.89492499657787,java语言,17.641990803145536,AndroidSDK,15.327381276005548,HTTP协议6,14.813785540764838,http协议,13.746388654591524
BD经理/业务拓展员,商务运营,7.713892158398701,市场开拓,6.601364138919491,工作心态,6.083414543923718,语言表达,4.282435429598944,多项目并行管理能力,4.253450988847259,热爱销售3.学习能力,4.242640687119286,市场思维能力,4.242640687119286,执业律,4.242640687119286,美妆产品使用,4.242640687119286,商务谈判能力,4.241344405671518
C工程师/C#工程师/C++开发工程师,C++编程能力,284.93586820265733,数据结构,132.55722789813103,linux操作命令4,85.98844784583505,STL,47.820504903038824,编程习惯,47.441999977448845,设计模式,31.580846288687912,TCP,29.846565445586638,c++语言,27.752436534929643,Windows,25.772743332146632,嵌入式Linux开发,25.455844122715714
FPGA开发工程师,FPGA应用开发流程,78.97755378252324,Verilog,65.72961680849416,HDL,49.80829656242114,XILIN,29.215269328354,Vivado,20.57478231810355,Modesim,10.69846179835184,Systemverilog语言,10.672593493850428,Altera,10.457427220904613,PCIE,9.510586206959065,IntelMKL,9.157032816365792
IP软件工程师,C++编程能力,118.54246688979364,Java底,83.63452168897635,数据结构,55.84763141965165,linux操作命令4,26.24540107537708,C语言程序设计,24.067782102627493,net,18.938565436632203,TCP,17.3984729595388,GUI设计,16.970562748477143,JavaScript功底,16.771347666083805,CANape,16.34504521127366
IT软件开发工程师/IT技术研发工程师,C++编程能力,154.5151075646421,Java底,105.77214114737494,数据结构,71.63117525242173,html5css,46.66582334228546,HTMLS,43.726418209884415,python程序,33.05125046765398,CSS(3),27.738833367772145,JavaScript功底,27.694116174648755,linux操作命令4,27.106735982497096,算法基础,23.341547914952184
Java工程师/JAVA开发实施工程师,java语言,483.12975634097126,Java底,449.331773446819,Spring,358.37824660600404,Springboott,232.31844462956622,mybati,216.9102051328727,Mysql的设计,181.28630272797642,数据结构,148.1310924573735,springcloud,109.81731421499254,多线程处理,99.85065218750071,Hibernate,97.22833677169741
业务定向生/业务管培生/业务品质管培生,汉语交流能力,8.485281374238571,语言表达,7.7083837732781,跨文化适应力,7.42462120245875,活动能力,6.894291116568839,亲和؜力,6.202477006223205,乐于洞察新知,5.833630944789018,勇于尝试新思路,4.590036589828744,开拓能力,4.564712387447958,抗压性,4.3559324901605585,货物交付情况,4.242640687119286
产品运营,组织沟通,5.879865580582433,逻辑思考力,5.3491420190209285,数据分析处理能力,5.3057248134044634,学习能力,4.413169452124415,口译经验,4.242640687119285,钢琴演奏能力,4.242640687119285,经营分析,4.242640687119285,剑网3用户特性,4.242640687119285,社区玩法,4.242640687119285,产品or运营经验,4.242640687119285
产品项目管理/产品助理/产品专员/产品总监/产品VP,axcure,39.03808037412509,自驱力,33.519941031835224,逻辑思考力,27.21417622143809,Visio,16.474376627811896,同理心,15.716479821504333,数据分析处理能力,15.534616188478262,XMind,15.41205751886676,互联网产品,13.50288322255996,团队意识,12.627873895754208,沟通能力,10.95740435975927
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,人力资源六大板块内容,38.05227448989774,人力资源,34.53727775292342,人力资源各模块工作内容,33.941125496954285,国家政策,27.770011770235303,offic办公软件,21.703221230324548,亲和؜力,20.094971082882402,基本人力,17.71218798637021,团队合作精神抗压能力,16.089965067963174,沟通表达理,15.006977557133384,人力资源工作,14.332393846837348
仿真应用工程师/仿真工程师,C++编程能力,16.78742478639527,模拟电路,13.069188323315814,数据结构,9.08915488591438,PCB设计,8.980159326307719,软硬件,8.889342392059454,流体仿真分析,8.485281374238571,弹塑性力学,8.485281374238571,python程序,7.031171261185574,CFD,6.788225099390857,linux操作命令4,6.1563701773410795
会计/财会员/结算会计师/建筑会计师/工程会计师/总账会计师/税务外勤会计师,会计制度,18.334268683622625,财务收支计划,17.677669529663685,财务软件,17.382460116383243,资产管理,14.138600623745708,职业操,11.686436949856562,会计法规,11.20580584081668,会计报表的处理,8.485281374238571,收法规,8.485281374238568,CPA,8.214484582378411,国家会计法规,7.242487637607667
农业管理储备员/农业管理储备干部,强烈成功欲望,54.72666224803479,目标敏感,34.130979605843734,团队协作意识,32.60702362742826,学习能力,13.138691821807827,offic办公软件,12.324938286985331,抗压性,9.916152198189035,英语运用能力,9.75123923748498,直面困难,6.66700679404459,沟通能力,5.165779247777275,沟通表达理,4.5020932671400145
前端开发工程师/前端工程师/客户端工程师,html5css,487.43792633194,CSS(3),477.89676754198484,HTMLS,448.0202738128286,JavaScript功底,278.3896140433975,Vue技术,264.04761681967085,react技术栈,224.1485915410566,负责UE4,176.76441956362171,数据结构,134.2513393453285,Java底,131.15177235437216,jQurey,92.21300611430742
功能测试工程师/性能测试工程师,Java底,52.920320361386324,python程序,34.042788787476155,理论基础知识,32.383334667016975,C++编程能力,32.27589279713624,linux操作命令4,27.974870008117467,测试方法,24.85797528515434,测试理论,24.689811776430293,TCP,23.35223305137214,Xshell,22.67266005325457,软硬件测试流程,18.765526116104535
售前工程师/售前技术支持/售前客服,软件系统,46.669047558312144,组织架构,30.21093928323622,云计算相关概念,21.213203435596423,形成解决方案,18.972690783037958,通信网络技术,18.182745801939795,大数据处理,13.25533207958652,计算机网络,12.574330962616987,技术讲解交流能力,12.121830534626527,文案能力,6.3460516131512295,文字功底,6.236243708876537
商务总监/商务经理/商务专员,销售思维,17.49302292111056,商务谈判,11.868069916907316,正形象气质,11.604096038633138,领导力,10.1176479385223,高效执行力,8.485281374238571,社会实践经历,7.34494202594648,谈判能力,7.25449202713769,清晰的职业规划,7.1165876430144435,三观正,6.563346213554961,抗压性,6.451943831182585
国内电商运营/京东运营/拼多多运营/淘宝运营/天猫运营/阿里巴巴运营,逻辑推理,18.101621131465674,数据分析处理能力,13.971701036820864,逻辑思考力,7.167081620667052,计算机办公软件,5.795690906268235,行业数据,5.252793231671496,1年以上工作经验,4.682931297498799,学上进心,4.5770219805078085,分析理,4.248700824743632,营销管理理念,4.242640687119285,主流媒体趋势,4.242640687119285
土木结构工程师/土建结构工程师,AutoCad,24.766293980067104,钣金设计,16.970562748477136,PRO,15.11382662562467,proE,14.968256759987124,SolidWorks,11.176796087857396,压铸模,9.428090415820634,专业英文用词,8.485281374238568,材料、力学,7.432957356102137,inventor,6.741392849475572,三维设计开发软件,6.49315210403346
培训研究员/培训师/培训策划研究员,分享交流,29.267984947167665,培训能力,21.31644457336194,人际交往,10.010521348856642,专业素质,7.1345622386206555,策划能力,6.269083222526201,组织策划能力,6.19555141661496,气质形象,4.242640687119285,办公软件3,4.215595713832496,团队的协作能力,3.788974542079241,职业道德,3.645849045125574
外贸经理/外贸业务员,英语四级通,12.413367983794975,外语沟通能力,11.879393923933996,英语听说读写能力,10.195700300639864,写能力,7.544375343762335,英语6级,7.486591402070093,跟踪外贸订单,7.42462120245875,英语听,6.758488390102324,开拓能力,6.732950771485738,英语书面,6.642816801132962,日语口语,6.380390743772378
大数据开发工程师,Java底,68.88653055458161,Hadoo,60.36431849595489,spark,35.48236204973069,Hive,29.942249138013786,数据结构,28.918304964509495,C++编程能力,27.419197748844432,java语言,24.160940193479206,Scala语言,22.196002737437798,JavaWeb,16.970562748477146,Spring,16.52151218362026
学术推广代表/学术型实习生/学术研究员/研究助理,统计分析原理,24.799244968756774,组织协调力,23.236711751819875,资源拓展整合,18.343857411437877,实验设计思路,16.970562748477143,积极向上,16.694960355046398,基本实验基础,13.334964400417627,学习能力,13.099235085160432,进取心,11.608690050520325,本exel,7.071067811865476,学术推广能力,7.071067811865476
客户代表/大客户代表/客户经理,敬业务实,16.970562748477143,进取心,10.171423663313048,谈判技巧,8.904903259286685,自主工作规划能力,8.768124086713188,管理潜质,8.531613142256191,输出能力,8.224123117391018,勤奋努力,8.11721977578715,市场营销,7.829096715323658,强烈成功欲望,7.818094606862113,大客户管理,7.559086399917844
客服代表/客服专员/客服助理/客服管培生,普通话标准,32.849739272625186,服务意识足,13.26688363326103,打字能力,12.91026236728969,电话销售,7.357561765554933,基金知识,7.273098320775919,业务流程,6.844501221004126,语言表达,6.762483200366683,口齿清晰,6.717684756536874,基金交易业务流程,6.060915267313265,电脑操作即,6.034549697660582
嵌入式软件开发工程师,C++编程能力,149.40934376686587,C语言程序设计,59.09535197332025,linux操作命令4,42.86486026650132,ARM平,41.716312020790205,SPI,38.082371916824606,UART,36.87628281780999,数据结构,35.450033237247006,嵌入式软件,27.786973879330418,I2C,26.183277338652356,编程习惯,24.148073375470783
工程管培生/工程技管培生/工程技术研发管培生,机械设计,28.2038038717031,CATIA,20.4480359564788,机械制图能力,17.843389077179086,offic办公软件,10.48832475594184,汽车理论知识,9.665762716284688,逻辑思考力,8.830045540391104,CaesarII,8.485281374238571,阅读并理解英文,8.485281374238571,管道应力分析工作流程,7.713892158398701,任意HDL,7.42462120245875
工艺工程师/制程工程师,AutoCad,44.527931325488254,SolidWorks,8.740148599509336,化工原理,8.485281374238571,公民意识,7.819356937325092,半导体／光电子,7.695351026051359,物理化学,7.42462120245875,动手能力,7.389407487483654,机原理,7.27571399292841,汽车理论知识,6.5979608457638195,校内外活动,6.474554821975909
市场管理培训生,领导力,14.38303200678622,沟通执行能力,12.727922061357848,社团管理,11.29216742941909,社会实践经历,11.199686416401848,活动策划能力,8.337359876246488,组织能力,8.159119211225084,数据分析处理能力,7.387719853447737,文字功底,7.278689701591862,推广活动流程,6.593017862416367,学习能力,6.4952316317877345
市场营销人员/市场推广人员/市场顾问/市场总监/营销主管,竞争意识,65.47419248569894,陌生人打交道,55.97375962929527,爱管事,55.664297578983415,进取心,38.52433267358445,工作5,34.790185986864635,管理潜质,25.026065217284824,目标敏感,20.48374739761143,三观正,16.55236504665593,谦虚谨慎,15.957474977370719,沟通表达理,15.411554381557668
市场营销管培生,IT项目流程,12.727922061357848,自主开拓客户资源的能力,9.091372900969892,三观正,8.276182523327964,市场营销,5.032990745565209,普通话标准,4.316417971765697,ToB销售经验,4.242640687119286,处理问题的能力,4.219992228653451,品行良好,4.19387077039525,阅片量丰富,3.8634062786826484,亲和؜力,3.8471408638130242
平面设计师,美术功底,42.1566887469169,Photos,34.35576118963036,illustrator,30.316856696337204,平面设计用软件,29.882345384253103,平面设计技,25.38558024911359,活动影像拍摄,17.356257356397077,美术基础,16.82805676817964,CorelDRAW,14.446460162912242,创意能力,11.560025418935505,CDR,11.533067675338522
感知算法工程师/视觉算法工程师/语音算法工程师,C++编程能力,245.94136841274562,python程序,105.1150062310944,Torch,84.42475292095654,Tensorflo,82.62369393502611,数据结构,73.48526475328127,Java底,71.80710183394278,机器学习,48.088860308345254,Caffe,45.91599092853491,MatLab,45.13245406589355,数学基础,36.92677030533427
技术开发管培生/技术支持管培生/技术助理,MAYA,15.94494132874939,3dsMAX,15.344311402935624,C++编程能力,14.236538351903075,Unity3D引,13.896513970958404,Java底,12.532287469937286,Zbrush,10.197308232612084,摄影灯光器材,8.485281374238571,视频直播推流,7.542472332656508,探索主动意识,7.50038264330016,ORACLE数据库,7.2510907520282135
技术支持工程师,Java底,12.74943938522025,AutoCad,12.135370807930196,linux操作命令4,9.217489702201402,虚拟化,8.568563733592676,雷达原理,8.485281374238568,数据库能力,8.238250942586577,参数特性,8.077521857398729,动手能力,7.809839292806,Mysql的设计,7.376667309183787,TCP,7.189902451399673
招聘管理培训生,招聘流程,25.455844122715703,正形象气质,15.547438498122004,ppt4,13.885005885117652,常用面试方法,11.957808536271978,文字功底,11.925105524810936,沟通表达理,8.95420962121679,抗压性,8.254880594489684,亲和؜力,7.861437823102927,说服技巧,7.3136409333886565,事业心,6.47073269458443
数据分析师,复杂SQL,40.57440933653377,python程序,33.17280818324942,数据分析处理能力,18.84493454000565,Hive,17.303192874381825,SAS,15.415612040603694,Mysql的设计,14.305498255104945,Excel函,13.265012859847822,spark,12.937695460812622,统计分析专业能力,12.727922061357857,数据变化敏感度,12.148412937927501
新媒体运营/新媒体运营助理,文字功底,23.178039117991133,新媒体运营工作经验,14.186968456717496,小红书,13.645043577473523,文案功底,12.17618846688502,文案策划功底,8.945505842943717,热点感知能力,8.48528137423857,敏感的网感,8.48528137423857,视频混剪,8.404338813209469,公众号运营,8.02391726936335,Photos,7.279035569457008
机器人工程师/机器人算法工程师/机器学习算法工程师,C++编程能力,59.27632335555064,数据结构,21.721633922579965,python程序,16.00177548510513,linux操作命令4,15.093594305413895,Tensorflo,14.778128338587639,Java底,12.235774185210367,数学基础,10.106780493391403,Torch,9.904482610522269,数据挖掘,9.599771393171007,全局路径规划算法,9.534156432998614
机械工程师/机械设计师/机械设备工程师/机械结构工程师,SolidWorks,70.10658588757944,AutoCad,56.943500939064975,PRO,30.890263655442183,机原理,25.973992064831315,proE,23.050022485599975,3d动画制作,22.8437081028482,机械设计,12.276590819479424,CATIA,11.015409613750139,机械设计能力,7.879189847507245,互换性,7.273098320775916
法务,公司法,35.5758890315546,合同法,29.146018047003437,处事灵活5,25.455844122715703,国家劳动法规,24.500370716348954,敏锐的洞察能力,15.062025716374595,学习的意识,15.053690024058318,分析能力,12.164617858749217,风险管控意识,12.048612391479649,法律知识,11.614828408370911,民事诉讼法,11.455129855222067
测试开发工程师,Java底,66.62574431666705,C++编程能力,46.56977813519693,python程序,37.09442085989687,理论基础知识,34.64439155384024,linux操作命令4,20.50491327825807,Xshell,19.313967763183694,Mysql的设计,16.84137798511674,scapy,16.199173532637268,数据结构,15.748852316800132,测试工作,13.88500588511766
海外游戏运营/游戏运营,rpg,8.48528137423857,游戏系统,7.954951288348659,游戏中各类术语含义,7.273098320775917,逻辑推理,6.582407684169335,数据分析处理能力,6.440025835120513,日语书面表达能力,6.363961030678928,工作投入度,6.0609152673132645,外语水平,6.058283946641685,数据变化敏感度,5.731299236782186,文字功底,5.197893771142415
