岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
硬件工程师,数字电,346.679313222502,模拟电路,223.4695565168755,数字滤波器,211.56829704118675,电路板设计,108.8335534362131,电子元器件选型,94.80734030347385,模电/数电基础,83.78561972228155,电路分析,80.45261452253641,usb,79.52244741654135,硬件基础知识,73.42160361096965,单片机,63.75222547552647
数据挖掘工程师,python程序,105.8797477894122,java语言,66.2756362751169,机器学习建模,61.270416542411795,统计基础,55.14661303152966,统计建模,49.31691474095555,linux操作命令4,48.90475669482282,云技术,43.85092652801666,统计概率,42.954189957727046,因果分析,40.56784607118666,sas,34.69923174140534
产品管理,宏观经济,67.14769210269851,协调问题,54.56630160956816,产品投入时间,50.92511492095385,复杂仪,50.03838691283464,问题分析,47.492407844131584,交流表达,32.60519887508569,个人学习力,25.462557460476926,英语四级通,21.532447553392576,系统分析,18.99851492752913,洞察力,18.668843900089193
C++开发工程师,c++,1509.7909808960715,数据结构,611.8590383947,c1证,271.50318410508356,设计模式,188.45052968331456,tcp,159.479976271878,python程序,132.12843411713015,gdb调试技术,126.72531279202015,代码规范,120.43510807712833,算法基础,116.03678447045577,gcc,107.27993645436977
财务管培生,国家会计法规,48.54115019467197,收政策,44.42372036761132,财务软件,44.16970302102369,国内会计法律法规,35.144588381931364,excel函,35.06815248625864,财务基础,32.27718952977096,财务类专业证书,32.21857258635062,财务软件系统,23.801054225981527,预决算,19.83421185498461,基本会计入账操作,18.410612906486065
汽车设计,汽车结构,210.02252296968848,catia,113.16197080386227,装配建模,87.30714645476185,工作原理,83.59999704608676,三维设计开发软件,79.13905973941968,创造性思维,72.08668682492655,设计理论,36.66127389368605,团队精神6,3.6776250377378674,高度额责任心,2.864601914773547,抗压性,2.2412182939712655
产品专家,产品新功能,633.7239929180913,自驱力,601.484776267282,团队意识,300.81605341390866,用户服务意识,210.64203511691832,进取心,17.309550700578395,善于倾听,13.225715537364554,人际交往,8.226244384745748,自驱动力,4.983763714471111,驾驶技术,0.0,行驶记,0.0
数据管理专员,临床试验经验,116.7357553183842,excel函,96.47262832565126,数据分析工具,24.86102017314909,逻辑推理,24.5220303480598,数据采集,19.545565797783034,ppt操作,15.192125456138386,分析技巧,14.034855550375294,word文档,13.028621329685684,计算机软件,12.480385898140737,洞察力,9.727450242678055
客服专员,普通话标准,150.42160673224123,海空运出口业务知识,95.26295985626997,服务意识足,79.7790874272044,服务口碑,77.83226052789165,操作流程,76.71239044810504,基金知识,69.25757269308622,各航线,60.00445508597249,电脑使用技能,57.9494202947653,基金交易业务流程,57.714643910905174,网络营销资源,57.19115668176724
商品管理,excel函,87.31829133124641,电商行业,68.36950382003553,中英文水平,36.35057314852769,数据洞察分析,34.579190093329444,资源拓展整合,29.857348142110904,创新的想法,29.093079073843068,品牌服装企业运作流程,28.8573195817705,数据分析方法,17.07574425945573,化办公软件,12.736345600510282,条理性好,8.381210299754036
置业顾问,三观正,35.82127441693769,亲和؜力,33.65150836812029,区域楼盘情况,29.433227346430666,强烈成功欲望,23.356978207546078,业务协作关系,18.15245833700858,判断力,17.206893569101496,逻辑协调,16.572425267086192,进取心,15.142533216558213,语言表达,14.983291703757388,抗压性,14.207918341642209
海外销售,攫取欲望,82.52913058836376,建立关系,79.91002722142699,乐于从事销售类工作,38.31146960465811,课成绩,32.662634395117436,国外交换生.外企实习,29.790660455076544,英语四级通,28.08580115659901,第二外语,28.073592191362845,沟通语言,24.983107063252916,商务意识,24.276580744728513,英文沟通,23.762490055054
课程顾问,普通话标准,98.17920628074724,亲和؜力,91.53028521916679,正形象气质,32.20801718168272,热爱中国传统文化,31.224677117661173,主动营销意识,30.215655433161523,素质教育课程转化,30.215655433161523,心态积极向上,30.215655433161523,沟通逻辑性,30.215655433161523,抗压性,29.462389314052295,服务意识足,27.429992179243207
销售管理,excel函,50.4368759403268,用户服务意识,40.347277220436865,处理复杂人际关系,26.833798933916114,沟通表达理,25.496128529255625,数据处理功底,19.453963014777695,转化力,16.77846660313279,互联网产品,15.006388599787945,数据变化敏感度,14.241753829167077,数据分析方法,13.807340084794278,书写流,12.960683590946694
活动策划,组织调度经验,323.76862771621245,社交裂变玩法,138.96629374960608,整合内外部资源,67.87528329429577,展示潮流,49.25786088900328,项目策划营销流程,46.32209791653536,大型庆典活动流程,43.5972686273274,展览展示空间设计,42.22102361914567,文娱相关线下活动设计,42.10422843902119,审美视角,40.87243933811944,提炼重点,38.14761004891147
HRBP,当下互联网游,26.2745244922773,上人力资源,26.2745244922773,准备长期在人力方向发展的规划,26.2745244922773,业务理解力,26.2745244922773,亲和؜力,25.408541774383355,人力资源日常管理工作流程,23.772732940761948,人力资源政策,21.377665191018913,人力资源各模块管理工具,17.82954970557146,学习反思,17.516349661518202,招聘渠道开发,17.323497157340658
行政专员,普通话标准,86.01097590837429,正形象气质,78.1533764983152,服务意识足,70.71006668489728,化办公软件,65.94681843817098,亲和؜力,65.45215301030703,问题意识,61.84187748054589,组织与执行,56.29470154020737,沟通反馈意识,50.20841884931325,基本商务接待礼仪,49.42729021980274,学习力,43.144819561002706
ERP实施顾问,行业销售,25.470703587934217,文档撰写,17.94027849025874,财务管理流程,16.832000921524262,ppt操作,16.25934088074316,服务意识足,12.845409789821586,高度额责任心,3.5545517661976627,抗压性,0.10021707818570448,极富团队合作精神,0.0,,,,
英语翻译,思维灵,39.468954462650494,内驱动力,16.310902793928673,新闻编辑,11.667857082124762,坚韧乐观5,9.970358430610265,中心思想,7.778571388083175,英语四级通,7.489546975093069,高度额责任心,6.361900458419842,时间管理推,6.116276886175457,概括摘要,5.833928541062381,英语八级,5.385164807134503
管理储备干部,团队协作意识,220.92132921981667,物流行业社会实践经验,41.605667270153994,excel各项功能,37.251866591902655,抗压素质,30.010945050691298,人际理解,22.083916228242547,沟通表达理,21.641872485156863,管理协调,20.951311635334996,影响力较好,18.4162228312286,offic办公软件,18.201019459416102,人格魅力,17.258289813873564
嵌入式,c++,1178.167829661671,uart,489.8232330414122,spi,341.02915422090206,keil,247.91546704853332,数据结构,229.46456386746294,嵌入式软件,211.4908969220332,stm32,206.21297429596453,usb,189.40771451015036,tcp,160.44108933839624,单片机,137.4396814707852
