岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
硬件工程师,数字电,267.2996446941465,模拟电路,166.4840448331741,数字滤波器,161.97122920357336,电路板设计,82.16864790799754,电子元器件选型,71.68825721085,模电/数电基础,61.079862514981905,电路分析,55.39497860249896,硬件基础知识,50.602633077003254,单片机,46.39321333305679,spi,42.92980368732354
APP开发,数据结构,53.863284620581,swift,42.24684986624456,c++,39.894774670628294,负责产品有强烈的责任心,30.756548029009892,英语水平,6.341955248356848,抗压性,3.6581090022123304,高度额责任心,0.7267946967274026,解决问题的意识,0.0,,,,
AI开发工程师,c++,29.297725148742654,java语言,15.948421386776076,计算机基础,14.06772814555824,机器学习,10.944255094924326,常用算法,9.624476142573144,面向对象思想,9.400049715189663,阅读英文文档,7.0435782610745985,基础算子,5.673626727331116,深度神经网络模型,3.7275002891352154,沟通表达理,1.4118943597625118
数据挖掘工程师,python程序,69.67545710046028,java语言,38.71807235369707,机器学习建模,35.613682102521146,统计基础,30.003468435645686,linux操作命令4,29.59000526679856,统计建模,26.919290385066365,统计概率,21.430666253065088,因果分析,20.24007368345036,自然语言生成,18.5792501873657,sas,18.41178121180684
产品管理,宏观经济,38.211725466440186,问题分析,31.96278848603286,协调问题,30.9542167995668,产品投入时间,27.804724998984778,复杂仪,21.850361050336172,交流表达,21.67045547621503,个人学习力,13.902362499492389,洞察力,11.584455374867987,系统分析,10.905486018992613,外延产品知识,10.598654248281585
IT运营工程师,态度积极主动,18.161709916236386,时间节点意识,6.546187287616334,沟通表达理,0.9412629065083412,,,,,,,,,,,,,,
C++开发工程师,c++,924.5699645932475,数据结构,352.4876406407036,c1证,128.75285049843285,设计模式,103.56735723671729,python程序,86.94872471163639,tcp,84.5157199405583,代码规范,69.79919320428465,算法基础,68.15471467265091,功底好,60.51786881508154,windows,58.93729311714838
贷后管理,办公计算机操作,27.01153089174116,电话催,20.03304016413613,普通话标准,19.043036658864374,sas,15.343151009839032,python程序,13.231428665158905,电话销售,9.816361317943176,与不同人群沟通,9.554924736447743,抗压性,5.652649386751908,效沟通技巧,4.259375750715881,讲求团队精神,3.8219698945791003
财务BP,敢挑战,7.549425750678055,基本财务会计知识,6.675488916354275,愿奉献&semi,6.2304563219306575,组织协调力,5.652833944166507,会计初级证书,4.005293349812566,职业道德,3.5761401005764593,懂得牺牲,2.873537277640811,职业资格证书,2.833585986814224,化办公软件,0.5852193321089884,自驱动力,0.24371621005999813
金融分析师,商业洞察力,9.512678616229591,为人诚信,2.576218810142767,英语四级通,1.858983433884712,自信心,1.852737650365408,效沟通技巧,1.4334437622601526,逻辑思考力,1.133750182071292,事业心,0.5356024322387589,高度额责任心,0.36339734836370147,极富团队合作精神,0.16482273394316269,大量阅读英文材料,0.0
