岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
硬件工程师,数字电,792.0558196082956,数字滤波器,788.6014727380573,电路分析,592.8844323352234,模拟电路,561.4871968796405,usb,461.05599953570976,模拟电路基础,424.8902837897846,电路板设计,414.63300245098685,电子元器件选型,411.342454829226,基础理论知识,313.4481056410106,spi,291.2919675898324
APP开发,swift,431.88209588558885,负责产品有强烈的责任心,198.0902963523459,数据结构,158.6680311483787,c++,123.98302021138038,英语水平,30.372942183445346,抗压性,11.805330050849028,高度额责任心,6.0443856935283335,解决问题的意识,0.0,,,,
AI开发工程师,c++,91.05003046773247,常用算法,68.43724496373665,机器学习,50.986521343731575,java语言,46.01165159971019,计算机基础,44.34975511042546,面向对象思想,43.509031963910914,基础算子,34.279073620595,阅读英文文档,33.49159820825636,深度神经网络模型,19.927127672384348,沟通表达理,9.545409483398801
数据挖掘工程师,机器学习建模,393.1202177736778,统计基础,285.9057864160185,统计建模,235.2311786590782,python程序,203.5507937515229,统计概率,149.9106095553788,因果分析,141.58224235785775,sas,129.65251263150878,文本数据挖掘经验,126.82909346008398,业务规划,117.61558932953908,java语言,111.70274552864707
产品管理,宏观经济,489.1266538735648,外延产品知识,249.61443943890396,交流表达,216.8170568555876,问题分析,187.3764047893997,复杂仪,155.32837261555295,协调问题,143.70743210056202,产品投入时间,136.79882738607984,数据统计分析,122.97070774412275,系统分析,91.5528466046249,英语四级通,69.53324642674286
IT运营工程师,态度积极主动,98.18160868985133,时间节点意识,73.14474949049371,沟通表达理,6.363606322265867,,,,,,,,,,,,,,
C++开发工程师,c++,2873.3331007229513,数据结构,1038.342172011314,c1证,655.5335120483128,tcp,437.78336449091563,代码规范,425.9973315093084,功底好,369.3516993585048,设计模式,368.7361059985039,常用算法,326.08334365074523,gcc,298.4274958480987,gdb调试技术,297.1327498299495
贷后管理,电话催,215.97778575239863,办公计算机操作,198.082845488008,与不同人群沟通,179.7603200119603,sas,108.04376052625732,效沟通技巧,83.24778926811251,普通话标准,83.01879164220752,品德端正,78.15259006160942,讲求团队精神,71.90412800478417,电话销售,55.36322802633446,python程序,38.65446915370084
财务BP,组织协调力,36.65171807147817,基本财务会计知识,34.121703552224666,敢挑战,33.88970348360045,愿奉献&semi,31.84692331540969,会计初级证书,20.4730221313348,职业道德,16.878564362390385,懂得牺牲,15.776904918138083,职业资格证书,12.00975913540421,自驱动力,2.7917091537771723,化办公软件,2.1584483488146087
金融分析师,商业洞察力,66.09384563126099,效沟通技巧,28.01608292676864,英语四级通,15.115923136248448,为人诚信,14.645809518081041,自信心,12.007719938991015,逻辑思考力,7.397321369217565,事业心,3.9668581866826527,高度额责任心,3.022192846764168,极富团队合作精神,1.70890702233417,大量阅读英文材料,0.0
经济管理,极富团队合作精神,5.126721067002514,抗压性,0.0,,,,,,,,,,,,,,,,
财务管培生,国家会计法规,254.3465458795945,财务基础,162.03264710331234,国内会计法律法规,111.345192379922,财务软件,111.19625313618116,收政策,100.89695485022834,excel函,99.45848041372429,财务软件系统,86.68002448236699,财务分析,84.56638357263901,财务类专业证书,83.59817370295043,财务管理,83.24801377727184
电子电气工程师,嵌入式软件架构设计,54.54415807661217,接插件,34.25668473341041,新能源汽车动力,22.596328294597296,电子产品研发有兴趣,20.34666568736924,执行器,16.140234496140927,处事灵活度,13.048872474812136,电子电路原理,11.216163648173955,多传感器标,9.257516567476381,沟通表达理,5.100986020228989,组织协调力,3.9737194337699533
汽车设计,汽车结构,627.4476904586911,catia,358.09970322321453,工作原理,197.0111447850826,创造性思维,165.32080125147132,装配建模,163.43146205853566,三维设计开发软件,138.45528353756674,设计理论,75.7993739943682,团队精神6,19.314934013533012,高度额责任心,16.896805461454207,抗压性,7.333614122497129
服装质量管理,服装的生产流程,344.10575281700767,语言表达,34.85718792184984,职业道德,30.140293504268527,爱岗敬业,25.81798502990194,高度额责任心,3.1481175487126754,洞察力,0.0,,,,,,,,
产品专家,自驱力,4764.482554946576,团队意识,1532.5622492849063,产品新功能,1266.8875571871577,用户服务意识,885.314446222625,进取心,58.77842529017858,自驱动力,37.688073575991815,人际交往,33.41109314718349,善于倾听,26.920890608709204,驾驶技术,0.0,行驶记,0.0
B超医生,谦虚谨慎,10.468852712424745,,,,,,,,,,,,,,,,,,
CRP/Medical Physician,听说读写,31.858492169261154,,,,,,,,,,,,,,,,,,
数据管理专员,excel函,273.6106790498037,临床试验经验,227.95747633055203,计算机软件,149.50258647837222,数据采集,106.1657652565236,数据分析工具,89.08488340391588,word文档,67.35909483614165,分析技巧,65.80584952696886,逻辑推理,64.71378054245814,ppt操作,46.59023873593164,1年以上数据分析,32.90292476348442
客服专员,普通话标准,656.1411484311523,服务意识足,301.95996741962324,服务口碑,253.48779901962044,海空运出口业务知识,241.2429617467531,基金知识,198.60379397081084,用户服务意识,196.38719834068237,电话销售,193.7712980921707,操作流程,181.95348323259725,换位思考,178.15941278403784,化办公软件,172.61890885151942
商品管理,品牌服装企业运作流程,302.23679824712013,excel函,247.64762191369098,中英文水平,221.88762836473134,数据分析方法,146.84538480639418,电商行业,141.4326319113165,资源拓展整合,116.84286437513677,创新的想法,81.85592934613149,数据洞察分析,78.73824185312273,条理性好,57.96757504960533,化办公软件,44.85525474880359
汽车销售,主动性,60.951470362703596,正形象气质,58.855507587960815,亲和؜力,47.14626489899727,商务谈判,36.748448584517,用户服务意识,14.183943063646856,进取心,13.651763293202768,高度额责任心,10.685610422487589,极富团队合作精神,5.639393173702763,爱岗敬业,5.576684766458818,,
置业顾问,强烈成功欲望,223.44971979780885,三观正,157.4579627178164,人格魅力,127.42346148150978,亲和؜力,112.08612534020871,工作激情,83.76614576030107,区域楼盘情况,82.3005218059412,职业道德操守,66.81259183348604,语言表达,65.25265578970291,业务协作关系,64.75614402793424,沟通表达理,63.63606322265868
金融顾问,性格坚韧,77.09288237672052,国内期货,62.90342213079531,口齿清晰,50.60418241315549,资源拓展整合,30.42782926435853,普通话标准,28.73727402999491,思维敏捷,28.660595101091957,团队意识,15.222868132951639,承压力,10.827862480596195,团队创新精神,8.703747043344997,事业心,3.9668581866826527
海外销售,中文口头,334.2048045796934,攫取欲望,257.20434584878853,建立关系,211.82570960062765,英语听,177.54128498953452,书写流,119.47835200487798,乐于从事销售类工作,119.0818222922218,沟通语言,102.99242828107911,系统软件,96.36005798107821,国外交换生.外企实习,91.15411360943617,英语四级通,90.69553881749069
课程顾问,普通话标准,428.2590683649498,亲和؜力,304.86820707328803,正形象气质,118.36496526023231,服务意识足,103.8211868783599,用户服务意识,102.63537569939649,热爱中国传统文化,102.41886694607228,语言表达逻辑,101.31024651414768,主动营销意识,99.50432424894926,素质教育课程转化,99.50432424894926,心态积极向上,99.50432424894926
销售管理,团队建设,277.28543058602656,用户服务意识,169.5769192942669,excel函,143.04645902877513,沟通表达理,126.01960710569676,数据分析方法,118.73826037079527,社会实践经验,93.32206120938741,文档撰写,87.60994131609775,处理复杂人际关系,85.43908639088755,书写流,82.67823868311412,品德端正,80.23665912991903
市场总监,正形象气质,62.77920809382487,事业心,41.25532514149959,各类金融产品特性,22.458114248853718,社交感,19.19028187362802,语言表达,13.38516016199034,高度额责任心,9.822126751983543,创新业务,0.0,,,,,,
CSO线管培生,经营思维,152.9758160265656,解决问题的意识,0.0,,,,,,,,,,,,,,,,
编剧,专业的写作技巧,101.59087073930803,创作潜力,78.4856572403985,文化素质,32.59360043006061,阅片量丰富,27.473107393569187,想象力丰富而有趣,17.78201149580946,写作方法,13.015394336321195,文字功底,12.005072536133037,逻辑思考力,10.14489787778409,责任感6,7.282504707215135,团队精神6,5.182055467045438
资料撰写工程师,,,,,,,,,,,,,,,,,,,,
广告客户执行,同理心,98.61783915190243,逻辑思考力,0.4227040782410039,完成布置,0.0,语言表达,0.0,,,,,,,,,,,,
文娱运营,文娱活动策划,546.1042457685161,心理咨询,80.58063447855986,责任感6,52.43403389194898,服务意识足,40.367119141132804,艺术治疗,0.0,,,,,,,,,,
活动策划,组织调度经验,1095.0238072521074,社交裂变玩法,474.40381490705585,展示潮流,238.44177916999539,责任感6,210.85418677124332,整合内外部资源,208.79215794746736,展览展示空间设计,204.37866785999603,文娱相关线下活动设计,202.48993025713767,活动策划执行,197.21588583376487,项目策划营销流程,158.13460496901857,普通话标准,153.2654614933062
媒介管培生,工作负责,13.308375309895975,沟通表达理,7.070673691406519,word文档,6.647279095671874,excel,2.222162585897224,市场嗅觉灵敏,0.0,,,,,,,,,,
安全管理管培生,,,,,,,,,,,,,,,,,,,,
仓储物流管理,化办公软件,147.31409980659703,理解力,51.690298694186005,执行力,0.0,,,,,,,,,,,,,,
HRBP,亲和؜力,84.63053028355361,业务理解力,66.56222582644513,当下互联网游,66.56222582644513,准备长期在人力方向发展的规划,66.56222582644513,上人力资源,66.56222582644513,专业知识,65.19579528413027,人力资源日常管理工作流程,63.22388022384422,人力资源政策,57.689900482224836,商务谈判,57.164253353693105,口语流,50.50663809947135
行政专员,普通话标准,375.1810776138225,正形象气质,287.2148770292488,生活工作习惯,279.07889958393986,服务意识足,267.634164804073,学习力,238.8552532555801,团队建设,238.21339263981372,化办公软件,232.25353909984526,亲和؜力,218.0074113126473,行政公文撰写,180.91375672901182,问题意识,180.31567760823398
ERP实施顾问,文档撰写,336.3690777196843,行业销售,190.27344004621455,财务管理流程,124.72122862000553,ppt操作,49.86310674630703,服务意识足,48.61925156972375,高度额责任心,20.96646287442641,抗压性,0.3279258347457984,极富团队合作精神,0.0,,,,
法规注册,公共关系维护意识,80.18674961183326,政策法规,69.00509982077658,资料撰写,54.08820580752144,开拓精神,19.27678257128303,文字撰写功底,10.28352524762353,文字功底,10.084260930351753,沟通表达理,8.909048851172214,适应性,5.408888796189021,化办公软件,5.288198454595792,极富团队合作精神,1.7943523734508786
英语翻译,思维灵,118.01729833485933,高度额责任心,37.525561180655075,坚韧乐观5,32.376633015496594,内驱动力,29.3025845042137,新闻编辑,27.659624076746628,英语四级通,24.185477017997517,英语八级,22.04540768504859,中心思想,18.439749384497752,时间管理推,17.146028584025853,用户服务意识,16.547933574254678
工程项目管理,沟通表达理,3.959577267187648,执行力,0.0,,,,,,,,,,,,,,,,
CFO,,,,,,,,,,,,,,,,,,,,
法务管培生,品德端正,24.314139130278487,民事诉讼法,16.771522690923184,国际法,16.534055763786455,身心健康,15.311143316710337,文书写作,15.118846882401332,国家劳动法规,15.105095109751588,合同法,13.834931945322108,公司法,13.40700134006195,团队意识,12.178294506361311,职业道德,3.8177705105406807
导游,导游证,22.045407685048602,品德端正,7.978076902122629,反映敏捷,3.4482546172395323,普通话标准,1.9956440298607578,语言表达,0.8365725101243963,亲和؜力,0.32279328471535695,服务意识足,0.0,,,,,,
餐饮店长,三观正,103.47237550027936,爱交流,66.17865559345785,坚韧品性,20.04597593508876,意愿度,0.0,,,,,,,,,,,,
环保工程师,英语四级通,7.557961568124224,auto,7.345749051627372,职业素养,7.060777194418702,团队精神6,6.477569333806797,沟通交互,4.752895486662869,高度额责任心,3.3999669526096876,offic办公软件,0.0,抗压性,0.0,,,,
政府关系,公文写作功底,23.788032044919163,word文档,6.837201355548214,excel,3.809421575823812,为人诚信,3.766065304649411,ppt操作,2.640296882319622,高度额责任心,0.6476127528780357,抗压性,0.0,,,,,,
农艺师,组织协调力,1.3089899311242204,,,,,,,,,,,,,,,,,,
