岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,net,135.3290382694928,创业心态,130.06775094046463,型关系型数据库,99.70376277451112,英语四级通,84.74382215587312,分布式微服务,84.19612025899212,阿里巴巴,81.62156255460872,后端系统,79.4858477969506,前后端代码分离架构,76.54192750817467,云计算工作经验,72.25986163359147,mybati,63.05857554964155
3D培训讲师,时装设计,220.7940216581962,绘画功底,131.18121989068885,美术基础,88.86799591747243,极富团队合作精神,0.0,,,,,,,,,,,,
3D客户端开发工程师,数据结构,0.0,,,,,,,,,,,,,,,,,,
3D设计/建模,美术功底,935.6231635462332,造型功底,564.5261118141884,审美力,506.7319381900208,基础设计理论,494.5786085143593,手绘板绘制,478.9793290749442,美术基础,414.440836072017,设计技巧,395.6628868114876,人体解剖结构,377.2568798596989,设计功底,354.7769933848242,blender,317.338275387244
5G技术开发,linux开发,145.42966226553193,脚本语,118.0745153703698,算法更优,75.06996736378669,关键算法设计,45.42048445540037,产品开发,44.24572624516946,git操作,31.95332017021235,python程序,30.918649041178643,专业知识,4.590911913346537,车辆驾驶证,2.7461889273350475,通信系统,1.3189947106388429
AE客户执行,广告营销,220.79402165819607,模拟电路,125.90571695257613,32位单片机,97.29038843710632,单片机,90.61464820523315,精细化个人工作经验,70.65408693062278,客户心理,68.89903510516112,审美水准,62.71261575834133,自动控制理论基础,62.33118124613557,团队工作效率,58.878405775518985,创造精神,56.93851793373019
AI图像处理工程师,caffe,74.22742849473505,python程序,20.02827468254487,维护软件测试流程,16.81757102174598,接受新知识,15.75628241715729,测试相关文档模版,8.408785510872987,,,,,,,,,,
AI开发工程师,caffe,350.108596147216,python程序,322.26243680887416,产品研发的方法论,256.1210651235076,数据结构,201.03223059147996,yolo算法,185.46697819288477,深度学习算法,185.40736682395777,全流程项目管理,170.747376749005,机器学习,156.15986859329132,pillow,132.4764129949177,海量数据处理,127.177356475121
AI数据工程师,语言学,139.2228969900293,自然语言生成,75.01571096361276,抗压性,13.580496528394159,执行力,10.905634722658236,责任感6,9.013631595385098,perl一种,7.544261440721652,python程序,0.20862786127650998,脚本语言,0.0,,,,
APP开发,负责产品有强烈的责任心,195.8583168509916,swift,156.48917195861506,数据结构,130.75556127986087,英语水平,42.11991888232747,抗压性,10.185372396295627,高度额责任心,5.517995631188309,解决问题的意识,0.0,,,,,,
APP设计师,互联网运营实习经验,202.98670222115072,用户理解,195.03471913140658,洞察力,39.01581395860831,逻辑思考力,30.64027571840309,自驱动力,15.812341840812417,抗压性,1.8861800733880807,行业动态,0.0,,,,,,
ARM开发,逻辑思考力,79.591021477591,积极主动,67.06831233837472,团队意识,42.530932163633835,自驱力,18.45606188017527,高度额责任心,7.7596813563585565,侵略性,0.0,,,,,,,,
Android培训讲师,android,758.614375049336,数据结构,442.7610508591393,java语言,340.6135213530435,面向对象的设计思想,299.8114297434559,第三方人力,266.6230972106935,设计功底,184.87404809160807,androidstudio开发工具,158.9716955939012,多线程处理,152.89965218121645,系统组件,145.1480698900837,网络基础,142.994752157142
BD经理,市场拓展素质,89.55947252642298,沟通表达理,78.50750516743614,交际技巧,65.15856407599155,国外客户进行交流,52.99056519796707,大局观念,43.37497944521218,组织协调力,42.44371130074774,商务谈判,36.04264244371453,市场分析,34.41837055238082,反映敏捷,34.09774976357526,亲和؜力,28.484808326011272
BIM工程师,revit,251.70518469034366,设计规范,214.68178304863616,耐心细心,148.13718172400075,navisworks,52.990565197967086,抗压性,18.673182726541967,团队意识,0.0,意愿度,0.0,,,,,,
B超医生,谦虚谨慎,14.591147127751125,,,,,,,,,,,,,,,,,,
C++传感器仿真工程师,生产质量,174.08072850396917,摄像头,165.49581897901842,零配件,130.26754691916798,整车质量意识,124.0473218421141,imu,104.64161033228677,多目标匹配算法,84.78490431674732,理论知识,74.48190211192575,压力传感器原理,70.65408693062277,毫米波雷达,69.61555748128835,数据结构,61.7855948904837
C++开发工程师,数据结构,1747.7291254418253,linux操作命令4,1094.1911081393882,设计模式,574.2876166513938,c1证,565.8594036465801,代码规范,528.7586700489786,功底好,458.4486776975638,python程序,450.67784217768553,windows,449.779420721805,算法基础,389.4492393667475,gcc,327.01977766534844
CAD设计/制图,常用算法,110.52496506399,愿意往技术,105.98113039593419,桌面软件,93.93782012366893,文档阅读,92.30952508218671,三维设计开发软件,75.93827481418846,数据结构,70.89668420044404,数学基础,51.88691436416646,代码阅读,42.283927825295976,工作负责,36.0323232634979,libigl,32.80368321778916
CDD分析师,ppt操作,11.2021470255422,,,,,,,,,,,,,,,,,,
CFO,,,,,,,,,,,,,,,,,,,,
CNC/数控,沟通4,19.09076282386416,工作负责,11.260101019843095,职业素养,5.089598406406273,责任感6,4.976851801132876,高度额责任心,3.310797378712986,极富团队合作精神,0.7441448653127444,111111111111111111111111111111,0.0,11111111111111111111111111111,0.0,需试岗111111111111111111111111111111,0.0,需试岗11111111111111111111111111111,0.0
COO,数据统计分析,22.70180124073787,执行力,0.0,,,,,,,,,,,,,,,,
CRP/Medical Physician,英文交流,68.29014120649029,书写流,18.690294611585553,听说读写,14.459605091369218,读临床,0.0,,,,,,,,,,,,
CSO线管培生,重度用户,105.98113039593422,销售思维,103.4971946045115,产品思维,102.72247787322597,经营思维,73.59800721939871,学习新鲜事物,59.78422740283467,商务谈判,55.06514817789721,活泼开朗,44.69492223383452,时间管理推,39.86098690685745,linux操作系统,35.331345026201376,组织好各环节,35.3270434653114
CTA/临床试验助理,临床试验相关政策,176.6352173265571,临床试验开展流程,154.55581516073747,临床试验经验,107.55769754607223,车辆结构,95.41477894452139,整车耐久,60.28796484214742,可靠性路试试验经验,57.70083766000856,时间管理推,54.959845583697394,notebook,47.656425720205206,耐久试验场标准,45.336372447149586,问题识,42.29279476876958
CTO,道德品质,37.01297203031796,执行力,15.991969450741204,服务意识足,3.9838916543916496,工作态度,0.0,,,,,,,,,,,,
CTO线管培生,产品经理思维,153.08385501634936,逻辑性,13.532859000252776,自驱力,0.0,,,,,,,,,,,,,,
DMPK,动物试验,61.822326064294884,肝细胞稳定性,54.78000694212496,分析仪,46.20143252776359,生物样品定量分析,42.25391473301947,微生物,32.30900734128658,代谢物鉴定,29.439202887759492,代谢物鉴,21.819644493280574,职业道德,19.38960313193349,用户研究常见方法,14.330163055910988,药物研发流程,12.408765912952283
DSP开发,国内主流搜索引擎,160.57747029687002,短视频平台,144.51972326718302,算法软件,123.6446521285899,数字通信,105.98113039593414,数学理论,91.52915806921585,搜索引擎,75.54960959351473,数字滤波器,73.48058385765593,常用外设,64.58471171606283,单片机,62.59096579325366,串口通讯协议,60.08759290982875
EHS工程师,计算机软件,61.05692648182491,进取心,49.44249997939508,中英文读写,39.6889453038669,事业心,26.392646280967604,乐于接受挑战,22.34122777017075,适应快速变化,18.34977418768817,效沟通技巧,13.880053454704967,解决问题的意识,10.37684965966385,高度额责任心,9.656492354579541,学习的意识,6.374779012845816
ERP产品,问题诊断,89.40313684411447,服务意识足,28.684019911619885,offic办公软件,12.034063172187112,高度额责任心,9.932392136138953,责任担当意识,7.546281071825406,抗压性,0.0,,,,,,,,
ERP实施顾问,行业销售,122.54068202029882,财务管理流程,81.69378801353254,文档撰写,79.85588463122018,挖掘客户需求,49.99956950162986,ppt操作,40.29661221688097,需求分析,40.02768438665158,服务意识足,27.638248352342075,高度额责任心,19.140547345684446,工作责任心,11.59409711130158,形成解决方案,10.223511625820525
ERP系统专员,,,,,,,,,,,,,,,,,,,,
ERP维护工程师,各平台知识产权维护规则,158.9716955939012,线下打假,127.17735647512094,诉讼流程,95.38301735634069,自动化基础知识,61.82232606429491,前端语言,29.829784421379482,lunix系统常用命令,24.147920722069106,html5css,21.94804785965185,器部署,18.46605702275873,基本配置,18.059760026509746,学习的意识,16.268967272366925
