岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,net,135.3290382694928,创业心态,130.06775094046463,型关系型数据库,99.70376277451112,英语四级通,84.74382215587312,分布式微服务,84.19612025899212,阿里巴巴,81.62156255460872,后端系统,79.4858477969506,前后端代码分离架构,76.54192750817467,云计算工作经验,72.25986163359147,mybati,63.05857554964155
3D设计/建模,美术功底,935.6231635462332,造型功底,564.5261118141884,审美力,506.7319381900208,基础设计理论,494.5786085143593,手绘板绘制,478.9793290749442,美术基础,414.440836072017,设计技巧,395.6628868114876,人体解剖结构,377.2568798596989,设计功底,354.7769933848242,blender,317.338275387244
AE客户执行,广告营销,220.79402165819607,模拟电路,125.90571695257613,32位单片机,97.29038843710632,单片机,90.61464820523315,精细化个人工作经验,70.65408693062278,客户心理,68.89903510516112,审美水准,62.71261575834133,自动控制理论基础,62.33118124613557,团队工作效率,58.878405775518985,创造精神,56.93851793373019
AI开发工程师,caffe,350.108596147216,python程序,322.26243680887416,产品研发的方法论,256.1210651235076,数据结构,201.03223059147996,yolo算法,185.46697819288477,深度学习算法,185.40736682395777,全流程项目管理,170.747376749005,机器学习,156.15986859329132,pillow,132.4764129949177,海量数据处理,127.177356475121
Android培训讲师,android,758.614375049336,数据结构,442.7610508591393,java语言,340.6135213530435,面向对象的设计思想,299.8114297434559,第三方人力,266.6230972106935,设计功底,184.87404809160807,androidstudio开发工具,158.9716955939012,多线程处理,152.89965218121645,系统组件,145.1480698900837,网络基础,142.994752157142
BD经理,市场拓展素质,89.55947252642298,沟通表达理,78.50750516743614,交际技巧,65.15856407599155,国外客户进行交流,52.99056519796707,大局观念,43.37497944521218,组织协调力,42.44371130074774,商务谈判,36.04264244371453,市场分析,34.41837055238082,反映敏捷,34.09774976357526,亲和؜力,28.484808326011272
C++传感器仿真工程师,生产质量,174.08072850396917,摄像头,165.49581897901842,零配件,130.26754691916798,整车质量意识,124.0473218421141,imu,104.64161033228677,多目标匹配算法,84.78490431674732,理论知识,74.48190211192575,压力传感器原理,70.65408693062277,毫米波雷达,69.61555748128835,数据结构,61.7855948904837
C++开发工程师,数据结构,1747.7291254418253,linux操作命令4,1094.1911081393882,设计模式,574.2876166513938,c1证,565.8594036465801,代码规范,528.7586700489786,功底好,458.4486776975638,python程序,450.67784217768553,windows,449.779420721805,算法基础,389.4492393667475,gcc,327.01977766534844
CAD设计/制图,常用算法,110.52496506399,愿意往技术,105.98113039593419,桌面软件,93.93782012366893,文档阅读,92.30952508218671,三维设计开发软件,75.93827481418846,数据结构,70.89668420044404,数学基础,51.88691436416646,代码阅读,42.283927825295976,工作负责,36.0323232634979,libigl,32.80368321778916
CTA/临床试验助理,临床试验相关政策,176.6352173265571,临床试验开展流程,154.55581516073747,临床试验经验,107.55769754607223,车辆结构,95.41477894452139,整车耐久,60.28796484214742,可靠性路试试验经验,57.70083766000856,时间管理推,54.959845583697394,notebook,47.656425720205206,耐久试验场标准,45.336372447149586,问题识,42.29279476876958
ERP实施顾问,行业销售,122.54068202029882,财务管理流程,81.69378801353254,文档撰写,79.85588463122018,挖掘客户需求,49.99956950162986,ppt操作,40.29661221688097,需求分析,40.02768438665158,服务意识足,27.638248352342075,高度额责任心,19.140547345684446,工作责任心,11.59409711130158,形成解决方案,10.223511625820525
ETL开发,db2,374.6566111870487,出差沟通需求,122.74363078461721,数据变化敏感度,120.49345979905497,短期在客户现场作业,117.38141683313611,spark,115.97588288753681,storm,101.77475924330847,数据库知识,97.17293760094051,自动化测,96.59510401668905,基本功扎实,87.26361139279588,数据质量产品,85.20813312424956
FPGA开发,数字电,291.03250537360213,硬件描述语言,229.6257825245239,vcs,201.73739478888754,通信原理,185.4669781928848,图像专业方向的算法,176.63521732655704,资源评估,136.49084975233944,低速模块,123.6446521285899,仿真验证工具,123.01381206670926,总线规范,116.01722228948854,组织资源进行功能设计,115.4437313241425
HRBP,亲和؜力,75.30277859095392,准备长期在人力方向发展的规划,61.8223260642949,业务理解力,61.8223260642949,上人力资源,61.8223260642949,商务谈判,55.06514817789721,业务思维,48.27681598241341,计算机水平,39.341480222733104,组织协调力,38.224161054474564,决策力,37.36203530046026,工作规划,36.20626945290033
HR培训讲师,亲和؜力,94.51155423443127,人力资源管理专业知识,91.64445835570947,日语二级证书,61.82232606429491,行业人力资源管理体系,61.82232606429491,沟通协作,60.44263179391345,地方劳动人事政策法规,49.45786085143593,沟通反馈意识,46.73194349752585,团队协作意识,46.63341412831937,三观正,39.91329200870561,判断力,36.14136842915663
IC测试工程师,芯片制造流程,1263.9231106478076,处理器,1039.3395709729887,vcs,824.115531943077,职位方向专业技能,588.7840577551898,逻辑设计,575.9478641048212,硬件设计语言,471.0272462041518,perl一种,438.25725376515516,以太网控制器,392.52270517012647,spi,391.93408628701667,数字设计流程,353.2704346531139
IOS客户端开发工程师,swift,274.5080891440706,数据结构,139.30496336354406,代码结构,91.29126480344635,开发经验,85.77669732303718,个人开发,72.86202714720473,设计规范,70.25949263409909,设计模式,57.57166583623909,操作系统,56.69378898369554,架构设计,51.54015940377902,算法基础,47.543023837677076
IP软件工程师,vcs,229.62578252452394,数字电,208.95557280703088,逻辑设计,175.4841148444377,脚本编写,172.21933689339303,spyglass,153.08385501634922,演出策划,103.03721010715826,文旅策划,92.73348909644243,tcl,83.26587293647425,地产策划,82.42976808572661,高速测试仪器,56.52326954449824
IT技术架构工程师,产品交互的体验,236.00427648353846,linux环境,217.71816810262428,spark,189.1716380342818,需求判断,172.46466358412434,数据挖掘算法,117.33264519271039,python程序,84.1813420250714,axcure,79.43052017749078,控制决策,74.64057154723176,多线程处理,45.745862942302224,mybati,44.618985133352076
IT运营工程师,物联网产品开发经验,194.29873905921258,解决网络,185.46697819288485,服务器,136.60740454978108,态度积极主动,119.22877169542595,负责公司电脑系统的维护,114.812891262262,计算机基础理论知识,114.812891262262,综合布线,114.812891262262,汇报材料,108.86509247724959,设计文档,106.10946401410921,三层网络协议,104.62239795496069
JAVA开发实施工程师,java语言,1228.628520572566,mybati,1106.5576960594194,springcloud,614.290183260946,数据结构,495.6077776511874,面向对象思想,416.6799204050555,外语听说读写,379.7657172520974,redis,310.3154477792695,html5css,303.93390801102464,多线程处理,266.68240785085345,servlet,259.96218016695803
LABVIEW工程师,销售思维,413.988778418046,实践经验,259.11670171832077,社会实践经历,220.68702182694818,商务谈判,205.57655319748287,处理管理,160.9684220031337,执行力,158.4265899929635,原则性,141.04816552419308,清晰的职业规划,135.2647860930783,意向往销售管理发展,126.0665942725344,事业进取心,124.69079850890863
