岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,net,560.8463431408993,创业心态,503.31949336052384,型关系型数据库,370.12507443840695,分布式微服务,325.811342821442,后端系统,307.58413483143124,前后端代码分离架构,296.19212983767454,阿里巴巴,295.7146420628352,云计算工作经验,279.6219407558466,开发语言,215.5756421350568,net开发运维,213.66293448475616
3D设计/建模,基础设计理论,1913.8568389511267,美术功底,1630.7717272816883,blender,1251.9969953686248,人体解剖结构,1239.2574774040522,数理功底,1100.2671745509365,设计技巧,1091.1524359559214,手绘板绘制,998.0494345289901,审美力,997.0512267091311,组合分析,991.1044344568337,造型功底,979.2839156387548
AE客户执行,广告营销,854.4003745317534,32位单片机,359.47175986392614,单片机,296.7231603712169,精细化个人工作经验,273.4081198501609,模拟电路,241.02959238754707,团队工作效率,227.84009987513411,客户心理,227.52708750739077,充电管理,212.65075988345856,审美水准,212.37485964787902,自动控制理论基础,204.2993867746829
AI开发工程师,caffe,1018.7918898115956,产品研发的方法论,991.1044344568337,yolo算法,717.6963146066727,全流程项目管理,660.736289637889,python程序,554.4532106790396,pillow,512.640224719052,深度学习算法,472.34758636073633,机器学习,433.4191483476376,dicom协议,410.11217977524154,海量数据处理,397.4570514598669
Android培训讲师,android,2036.8853041062475,java语言,1183.2054638685136,面向对象的设计思想,944.3918278609385,数据结构,784.2679277623391,第三方人力,674.2904305618647,androidstudio开发工具,615.1682696628625,系统组件,561.6753766487005,网络基础,505.24435014988035,开发架构,454.6895906203765,常用开发组件,447.39510520935454
BD经理,市场拓展素质,228.9587873620498,交际技巧,206.28178069226192,国外客户进行交流,205.05608988762077,沟通表达理,165.24568120815195,反映敏捷,151.85153715344336,大局观念,148.46279783423682,市场分析,138.2754238134926,商务谈判,111.97720186033418,工作热情,76.29534983195381,组织协调力,62.88266027212323
C++传感器仿真工程师,生产质量,911.5576384561934,整车质量意识,649.5623308046686,摄像头,554.032991402988,零配件,500.11544704207273,多目标匹配算法,328.08974382019323,压力传感器原理,273.40811985016103,理论知识,247.23376014989535,gnss,224.18143968996236,毫米波雷达,209.15173457308558,imu,207.935843826597
C++开发工程师,c1证,3821.165493090921,数据结构,3095.773435446603,linux操作命令4,2313.5491700071634,代码规范,2046.1224553721456,windows,1842.752781136617,功底好,1774.0458685732042,gdb调试技术,1618.1043733953989,设计模式,1457.850082500133,gcc,1447.0546115789866,make,1154.7189903085446
CAD设计/制图,愿意往技术,410.1121797752413,桌面软件,363.5085229826005,常用算法,353.22852558984835,文档阅读,332.70844646992947,三维设计开发软件,247.15896679093618,工作负责,172.3993796176386,代码阅读,158.10217813057025,libigl,126.93948421614623,数据结构,125.58014191901566,数学基础,123.82100843719994
CTA/临床试验助理,临床试验相关政策,683.5202996254026,临床试验开展流程,598.0802621722272,临床试验经验,248.3344645904988,车辆结构,234.61173622315397,可靠性路试试验经验,223.28329787763147,整车耐久,212.24255870079156,耐久试验场标准,175.43687690385332,notebook,163.77826018894265,组织活动经验,149.41160707255918,电子电气,136.7040599250805
