岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,型关系型数据库,72.07349110489852,net,63.09989662306528,创业心态,55.104408787034416,阿里巴巴,36.13875713223891,分布式微服务,35.670467087244916,团队协作意识,34.53003060155232,后端系统,33.67491648096547,前后端代码分离架构,32.42769735204083,mybati,31.97782694127921,云计算工作经验,30.613560437241343
3D培训讲师,时装设计,93.54143466934856,美术基础,56.35593174627948,绘画功底,54.83631611758852,极富团队合作精神,0.0,,,,,,,,,,,,
3D客户端开发工程师,数据结构,0.0,,,,,,,,,,,,,,,,,,
3D设计/建模,美术功底,618.9157505021551,审美力,417.97795311575084,手绘板绘制,308.9684491580331,美术基础,262.81901858387135,造型功底,241.24215370259714,基础设计理论,209.53281365934072,镜头感觉,191.00169016568572,想象力,186.6594221752714,blender,168.342930118477,设计技巧,167.6262509274726
5G技术开发,linux开发,61.612624968877576,脚本语,51.16746040783168,算法更优,31.804087787578506,关键算法设计,19.242809417694566,git操作,19.016789456649576,python程序,18.2930406241272,产品开发,14.201469716585766,专业知识,1.8927109035281546,车辆驾驶证,0.8133984457399158,通信系统,0.7900204946803321
AE客户执行,广告营销,93.54143466934852,模拟电路,46.811901847987144,单片机,36.96135650348288,32位单片机,36.23401044639839,精细化个人工作经验,29.933259094191524,客户心理,28.143388134662594,审美水准,27.00798961691649,团队工作效率,24.944382578492938,充电管理,23.28142373992675,人际交往,23.153484481787917
AI图像处理工程师,caffe,24.883386904469067,python程序,11.84974291441438,维护软件测试流程,9.977753031397176,接受新知识,7.757094065671226,测试相关文档模版,4.9888765156985855,,,,,,,,,,
AI开发工程师,python程序,190.66679919693644,数据结构,151.55883195271574,caffe,117.3674992274536,产品研发的方法论,108.5080642164443,yolo算法,78.57480512225278,机器学习,76.13295116956702,全流程项目管理,72.33870947762952,深度学习算法,62.45785022117791,理论基础,56.49631819892377,pillow,56.124860801609124
AI数据工程师,语言学,58.98307130539475,自然语言生成,49.061928414153996,抗压性,9.293090370102794,责任感6,5.832373782293556,perl一种,4.80634700306577,执行力,2.866791755243657,python程序,0.12343482202515034,脚本语言,0.0,,,,
APP开发,数据结构,98.57702956680687,swift,90.35627424287374,负责产品有强烈的责任心,71.59474521368288,英语水平,16.191300742754294,抗压性,6.9698177775771,高度额责任心,3.4787899847280883,解决问题的意识,0.0,,,,,,
APP设计师,互联网运营实习经验,100.45880565553722,用户理解,82.62826729125788,洞察力,18.964039944809024,逻辑思考力,14.132604960042487,自驱动力,5.330661212775011,抗压性,1.2907069958476125,行业动态,0.0,,,,,,
ARM开发,逻辑思考力,36.710781431821744,积极主动,32.201840359146324,团队意识,28.72562724581487,自驱力,8.734734034884521,高度额责任心,4.892048416023873,侵略性,0.0,,,,,,,,
Android培训讲师,android,355.55891222571927,数据结构,333.79895106835716,java语言,182.11708023105035,面向对象的设计思想,130.0145417560807,第三方人力,103.29357473091848,算法基础,91.63722333994335,多线程处理,84.0267003782611,设计功底,80.64130009320829,androidstudio开发工具,67.34983296193094,计算机基础知识,66.34997968933637
BD经理,沟通表达理,66.43675647949902,市场拓展素质,38.08365029453062,交际技巧,32.51756371372532,大局观念,24.774609405361755,亲和؜力,23.96504250249197,国外客户进行交流,22.449944320643656,反映敏捷,19.974807415376738,市场分析,19.20739888155618,组织协调力,15.745364518855055,工作热情,11.643962221424603
BIM工程师,revit,106.63723552305736,设计规范,100.4878982074067,耐心细心,64.68761538755444,navisworks,22.449944320643652,抗压性,12.777999258891342,团队意识,0.0,意愿度,0.0,,,,,,
B超医生,谦虚谨慎,4.580080837900194,,,,,,,,,,,,,,,,,,
C++传感器仿真工程师,摄像头,85.71796922427578,生产质量,71.96872276250612,零配件,69.13605997060974,整车质量意识,51.28383475763618,数据结构,46.580354630469174,毫米波雷达,44.89988864128731,imu,43.41975701688069,多目标匹配算法,35.91991091302984,理论知识,33.779113546727466,python程序,32.05586297496774
C++开发工程师,数据结构,1317.6184935239464,linux操作命令4,629.6435430011729,设计模式,366.94757108215924,c1证,268.05151347680913,python程序,266.6438648199136,算法基础,255.90252054406872,代码规范,224.01351367568662,windows,198.4428046121106,功底好,194.2260334407202,make,147.48724868495688
CAD设计/制图,数据结构,53.44923356382061,常用算法,45.89294789679789,文档阅读,45.08768132633031,愿意往技术,44.89988864128728,桌面软件,39.79762856841375,三维设计开发软件,29.67960379411838,数学基础,23.07160160922847,沟通表达理,18.174864750238388,代码阅读,15.626847549789588,libigl,13.897584579446075
CDD分析师,ppt操作,5.220126921938771,,,,,,,,,,,,,,,,,,
CFO,,,,,,,,,,,,,,,,,,,,
CNC/数控,沟通4,9.354143466934852,工作负责,3.9620066136720693,责任感6,3.220329082247976,职业素养,3.0956448193596144,高度额责任心,2.087273990836853,极富团队合作精神,0.5419282278225394,111111111111111111111111111111,0.0,11111111111111111111111111111,0.0,需试岗111111111111111111111111111111,0.0,需试岗11111111111111111111111111111,0.0
COO,数据统计分析,10.446368531889103,执行力,0.0,,,,,,,,,,,,,,,,
CRP/Medical Physician,英文交流,32.788333685689565,书写流,10.746420320663464,听说读写,8.31121893632922,读临床,0.0,,,,,,,,,,,,
CSO线管培生,产品思维,51.6241515202602,重度用户,44.89988864128731,经营思维,31.180478223116182,销售思维,29.717580675151204,学习新鲜事物,25.328142310469758,linux操作系统,19.97463792680017,亲和؜力,18.856112655474362,活泼开朗,18.378835818774874,数据变化敏感度,16.5927646820141,强烈成功欲望,16.485833100242985
CTA/临床试验助理,临床试验相关政策,74.83314773547886,临床试验经验,67.84696338413576,临床试验开展流程,65.479004268544,车辆结构,33.135658245153024,offic办公软件,26.790041133397203,整车耐久,25.112311235674866,可靠性路试试验经验,24.445494926923086,耐久试验场标准,19.20717458543957,时间管理推,18.628895792181503,notebook,17.264112257997652
CTO,道德品质,22.224066390810393,执行力,4.203849417057909,服务意识足,2.1165044733983662,工作态度,0.0,,,,,,,,,,,,
CTO线管培生,产品经理思维,64.85539470408163,逻辑性,9.852019556115009,自驱力,0.0,,,,,,,,,,,,,,
DMPK,动物试验,26.191601707417593,分析仪,23.307535512457786,肝细胞稳定性,23.208057908813533,微生物,22.85133159593184,生物样品定量分析,17.901262791624347,代谢物鉴定,12.472191289246469,代谢物鉴,9.24409472026503,职业道德,5.705308456264129,用户研究常见方法,4.96840184684358,药物研发流程,4.704047098956316
DSP开发,国内主流搜索引擎,68.03013430498076,短视频平台,61.22712087448269,算法软件,52.38320341483518,数字通信,44.899888641287305,搜索引擎,43.91969247287791,数学理论,38.777176553839034,数字滤波器,36.40102926303113,debug经验,29.384914431157437,调制解调算法,27.899126260912475,常用外设,25.764516939012513
EHS工程师,计算机软件,23.319843137147217,中英文读写,19.077569746316055,事业心,15.165741317644084,进取心,12.255657379232751,适应快速变化,11.521986738435332,乐于接受挑战,9.755890087076766,高度额责任心,6.087882473274155,解决问题的意识,5.532690675055378,沟通表达理,4.8932328173718735,效沟通技巧,3.8237267622436306
ERP产品,问题诊断,32.10445726242848,服务意识足,15.238832208468239,offic办公软件,12.737906350219047,高度额责任心,6.261821972510558,责任担当意识,3.8158751666407222,抗压性,0.0,,,,,,,,
ERP实施顾问,行业销售,51.91549624148843,文档撰写,48.69137253598846,财务管理流程,34.61033082765896,需求分析,19.820861991896326,挖掘客户需求,19.418879193081747,ppt操作,18.777956566418638,服务意识足,14.683249784201168,高度额责任心,12.067052759525556,工作责任心,4.594892753500918,形成解决方案,4.162279241038765
ERP系统专员,,,,,,,,,,,,,,,,,,,,
ERP维护工程师,各平台知识产权维护规则,67.34983296193093,线下打假,53.879866369544736,诉讼流程,40.40989977715854,自动化基础知识,26.19160170741759,前端语言,15.110539446587072,lunix系统常用命令,12.232341456760963,器部署,9.354143466934854,html5css,7.997683477374399,基本配置,7.96718323843766,redis,7.423477953623423
ETL开发,db2,218.3227389489049,数据变化敏感度,66.3710587280564,spark,59.6581450191472,基本功扎实,57.6005645572269,出差沟通需求,54.576745242632384,storm,53.45224838248487,短期在客户现场作业,52.19248967763284,型关系型数据库,51.68679694812417,自动化测,40.2296922676674,数据质量产品,37.886956287635584
FAE现场技术支持工程师,电子类知识,64.73830403084662,战斗意志,32.36915201542331,游戏运营有浓厚兴趣,27.976683743858974,商务谈判,21.421316044293448,学习执行力,18.892550290625152,电子仪器,18.70828693386971,沟通表达理,15.413683374721401,反馈力,11.651135752453465,电子元器件选型,11.60251694125926,datasheet,11.013063562962476
FA分析师,投资机构,46.770717334674266,移动互联网行业,31.767662832744517,工作习惯,22.750485392754083,解决问题的意识,11.526438906365371,word文档,5.559414362843477,责任感6,3.864394898697571,自驱动力,2.0973093296163983,抗压性,1.161636296262849,极富团队合作精神,0.0,ppt操作,0.0
