岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
.NET培训讲师,型关系型数据库,72.07349110489852,net,63.09989662306528,创业心态,55.104408787034416,阿里巴巴,36.13875713223891,分布式微服务,35.670467087244916,团队协作意识,34.53003060155232,后端系统,33.67491648096547,前后端代码分离架构,32.42769735204083,mybati,31.97782694127921,云计算工作经验,30.613560437241343
3D设计/建模,美术功底,618.9157505021551,审美力,417.97795311575084,手绘板绘制,308.9684491580331,美术基础,262.81901858387135,造型功底,241.24215370259714,基础设计理论,209.53281365934072,镜头感觉,191.00169016568572,想象力,186.6594221752714,blender,168.342930118477,设计技巧,167.6262509274726
AE客户执行,广告营销,93.54143466934852,模拟电路,46.811901847987144,单片机,36.96135650348288,32位单片机,36.23401044639839,精细化个人工作经验,29.933259094191524,客户心理,28.143388134662594,审美水准,27.00798961691649,团队工作效率,24.944382578492938,充电管理,23.28142373992675,人际交往,23.153484481787917
AI开发工程师,python程序,190.66679919693644,数据结构,151.55883195271574,caffe,117.3674992274536,产品研发的方法论,108.5080642164443,yolo算法,78.57480512225278,机器学习,76.13295116956702,全流程项目管理,72.33870947762952,深度学习算法,62.45785022117791,理论基础,56.49631819892377,pillow,56.124860801609124
Android培训讲师,android,355.55891222571927,数据结构,333.79895106835716,java语言,182.11708023105035,面向对象的设计思想,130.0145417560807,第三方人力,103.29357473091848,算法基础,91.63722333994335,多线程处理,84.0267003782611,设计功底,80.64130009320829,androidstudio开发工具,67.34983296193094,计算机基础知识,66.34997968933637
BD经理,沟通表达理,66.43675647949902,市场拓展素质,38.08365029453062,交际技巧,32.51756371372532,大局观念,24.774609405361755,亲和؜力,23.96504250249197,国外客户进行交流,22.449944320643656,反映敏捷,19.974807415376738,市场分析,19.20739888155618,组织协调力,15.745364518855055,工作热情,11.643962221424603
C++传感器仿真工程师,摄像头,85.71796922427578,生产质量,71.96872276250612,零配件,69.13605997060974,整车质量意识,51.28383475763618,数据结构,46.580354630469174,毫米波雷达,44.89988864128731,imu,43.41975701688069,多目标匹配算法,35.91991091302984,理论知识,33.779113546727466,python程序,32.05586297496774
C++开发工程师,数据结构,1317.6184935239464,linux操作命令4,629.6435430011729,设计模式,366.94757108215924,c1证,268.05151347680913,python程序,266.6438648199136,算法基础,255.90252054406872,代码规范,224.01351367568662,windows,198.4428046121106,功底好,194.2260334407202,make,147.48724868495688
CAD设计/制图,数据结构,53.44923356382061,常用算法,45.89294789679789,文档阅读,45.08768132633031,愿意往技术,44.89988864128728,桌面软件,39.79762856841375,三维设计开发软件,29.67960379411838,数学基础,23.07160160922847,沟通表达理,18.174864750238388,代码阅读,15.626847549789588,libigl,13.897584579446075
CTA/临床试验助理,临床试验相关政策,74.83314773547886,临床试验经验,67.84696338413576,临床试验开展流程,65.479004268544,车辆结构,33.135658245153024,offic办公软件,26.790041133397203,整车耐久,25.112311235674866,可靠性路试试验经验,24.445494926923086,耐久试验场标准,19.20717458543957,时间管理推,18.628895792181503,notebook,17.264112257997652
ERP实施顾问,行业销售,51.91549624148843,文档撰写,48.69137253598846,财务管理流程,34.61033082765896,需求分析,19.820861991896326,挖掘客户需求,19.418879193081747,ppt操作,18.777956566418638,服务意识足,14.683249784201168,高度额责任心,12.067052759525556,工作责任心,4.594892753500918,形成解决方案,4.162279241038765
ETL开发,db2,218.3227389489049,数据变化敏感度,66.3710587280564,spark,59.6581450191472,基本功扎实,57.6005645572269,出差沟通需求,54.576745242632384,storm,53.45224838248487,短期在客户现场作业,52.19248967763284,型关系型数据库,51.68679694812417,自动化测,40.2296922676674,数据质量产品,37.886956287635584
FPGA开发,硬件描述语言,97.28309205612246,数字电,93.37938122619141,vcs,85.4679179865774,通信原理,78.57480512225276,图像专业方向的算法,74.83314773547885,资源评估,57.82561415923364,时序约束,52.46512449231064,低速模块,52.38320341483518,仿真验证工具,52.11594217292278,总线规范,49.1517720353486
