"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"大智慧财汇","民营企业","500-2000人","金融/经济/投资/财会","安徽/合肥","安徽省合肥市蜀山区安高广场写字楼20-24F","179"
"灵感科技","民营企业","150-500人","互联网/游戏/软件","广东/广州","广州市天河区黄埔大道中309号","4"
"嘉沃资产","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市朝阳区万通中心C座","129"
"亚创集团","外资企业","500-2000人","互联网/游戏/软件","北京","上海徐汇区桂林路402号209","4"
"小迈网络科技","民营企业","150-500人","互联网/游戏/软件","广东/广州","林和东路285号天安人寿中心38楼","31"
"中智科技","国有企业","500-2000人","不限","北京市/北京","上海徐家汇","51"
"重庆洪九果品股份有限公司","民营企业","2000人以上","快消/百货/批发/零售","重庆市/重庆","重庆市渝北区东湖南路3号中铁峰汇B座22层","142"
"深圳市正浩创新科技股份有限公司","民营企业","500-2000人","电子/通信/硬件","广东/深圳","深圳市南山区","139"
"医药魔方","民营企业","150-500人","医疗/健康/制药/生物","北京市/北京","苏州工业园区","302"
"中原地产","民营企业","2000人以上","房产/家居/物业/建筑",,"广东省深圳市南山区海信南方大厦11-14层","120"
"邦普循环","民营企业","2000人以上","化工/能源/环保","广东/佛山","广东省佛山市","119"
"青研社","民营企业","少于15人","教育/培训","广东/深圳","深圳市南山区文心五路87号闽泰大厦1401B","10"
"厦门邦维尼","民营企业","15-50人","快消/百货/批发/零售","福建/厦门","厦门市集美区软件园三期百通科技园2号楼603","37"
"豪雅集团","民营企业","500-2000人","快消/百货/批发/零售","浙江/宁波","浙江省宁波市海曙区石碶街道联丰工业区8号","150"
"梦希科技","民营企业","15-50人","互联网/游戏/软件","广东/广州","广东省广州市海珠区上冲南约27号201","8"
"鼎盛娱乐","民营企业","50-150人","广告/传媒/公关/展览","天津市/天津","全国职位，详情在职位描述中说明","21"
"敦煌网","外资企业","500-2000人","互联网/游戏/软件","北京","北京市海淀区成府路28号优盛大厦A座8层","4"
"深圳拓竹","外资企业","50-150人","电子/通信/硬件","广东/深圳","深圳市南山区国信投资大厦","131"
"顺丰","民营企业","2000人以上","交通/贸易/物流","佛山","广东深圳","201"
"东莞联通","国有企业","500-2000人","电子/通信/硬件","广东","东莞市","242"
"煜百城","民营企业","150-500人","互联网/游戏/软件","河北/石家庄","长安区嘉和广场2号写字楼8楼807号","33"
"新七天","股份制企业","150-500人","互联网/游戏/软件","北京市/北京","北京石景山区鲁谷路74号中国瑞达大厦","9"
"NOX","民营企业","150-500人","互联网/游戏/软件","北京市/北京","海淀区盈创动力E座西区601","11"
"Adswave","民营企业","15-50人","互联网/游戏/软件","广东/广州","广州市天河区体育西路保利克洛维中景A座3721-3724","16"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","全国","广东省深圳市福田区安吉尔大厦16楼","127"
"NIO蔚来","民营企业","2000人以上","汽车/机械/制造","上海市","郑州市管城区文治路与鼎尚街交叉口","13"
"骏翔科技","股份制企业","15-50人","快消/百货/批发/零售","河南/郑州","郑州市金水区花园路39号国贸新领地","27"
"河流守望者发展中心",,"15-50人","公共事业/NGO/政府","长沙","长沙市岳麓区阳光100后海1-73栋1111室","27"
"深圳拓竹","外资企业","50-150人","电子/通信/硬件","广东/深圳","南山区国信投资大厦","37"
"会小二","民营企业","150-500人","企业服务/咨询","北京市/北京","北京市朝阳区建国路35华润时代中心B2座3-6层","11"
"Judydoll橘朵","民营企业","150-500人","快消/百货/批发/零售","上海市/上海","黄浦区马当路388号soho复兴广场A栋1105","194"
"高顿教育","民营企业","2000人以上","教育/培训","上海市/上海",,"305"
"野生浪漫","股份制企业","少于15人","快消/百货/批发/零售","北京市/北京","北京市朝阳区甘露园南里25号国际创展中心1601","6"
"好大夫在线","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","北京市朝阳区DREAM2049国际文创产业园东门B05栋","10"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","广东","深圳市福田区八卦路安吉尔大厦15楼乐有家控股集团","184"
"富途网络","民营企业","500-2000人","互联网/游戏/软件","深圳","科苑路15号科兴科学园D1栋25层","17"
"杭州小电科技股份有限公司","民营企业","2000人以上","互联网/游戏/软件","全国","杭州余杭区浙江海外高层次人才创新园5幢","157"
"华旗","民营企业","15-50人","电子/通信/硬件","广东/深圳","深圳市宝安区西乡街道共乐社区明月花都F栋1706（共乐智慧城云幕影城上）","8"
"理想汽车","民营企业","2000人以上","互联网/游戏/软件","北京市","北京市顺义区理想汽车研发总部","1377"
"明胜品智","民营企业","150-500人","互联网/游戏/软件","上海市/上海","上海市云锦路701号西岸国际人工智能中心","31"
"北控城市服务集团","国有企业","2000人以上","公共事业/NGO/政府","北京市/北京","深圳市宝安区沙井街道马安山社区马安山锦胜财富广场AB栋A1612","25"
