公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
21世纪不动产,21世纪不动产,股份制企业/民营企业/合伙企业,2000人以上,家居/建筑/不限/地产经纪)/物业/房地产服务(物业管理/房产,103,天津/四川/北京/安徽,天津/四川/北京/合肥,1
波士顿咨询（BCG),BCG,外资企业,500-2000人,企业服务/咨询,22,上海,上海,1
BIGO LIVE,BIGO,民营企业,2000人以上,游戏/软件/互联网,70,广东,广州,1
CoCo都可,CoCo都可,民营企业,150-500人,餐饮/酒店/旅游/娱乐,1,福建,厦门,2
企鹅FM/喜马拉雅FM/猫耳FM/蜻蜓FM,FM,民营企业,50-150人,百货/快消/批发/零售,24,四川,四川,4
万科,G万科东荟城一分行,民营企业,2000人以上,房产/家居/物业/建筑,10,广东,广州,1
红点影视HDVFX,HD,民营企业,50-150人,互联网/游戏/软件,6,广东,广州,2
UMU,HOUMU,民营企业,15-50人,广告/传媒/公关/展览,16,上海,上海,2
IGG 福州天盟,IGG,外资企业,2000人以上,互联网/游戏/软件,7,福建,福州,1
蔚来,NIO蔚来,民营企业,2000人以上,制造/汽车/机械,62,上海,上海,1
SHEIN,SHEIN,民营企业,2000人以上,游戏/软件/互联网,964,广东,肇庆市/深圳市/广州市,1
昂立STEM/星光文化STARLIGHT/本新VISTON,ST,外资企业,150-500人,通信/电子/硬件,32,广东省,深圳市,4
商汤科技,SenseTime商汤科技,民营企业,2000人以上,互联网/游戏/软件,8,北京,北京,2
Soul,Soul APP,民营企业,500-2000人,互联网/游戏/软件,56,上海,上海,4
Switching Time,Switching Time,民营企业,50-150人,广告/传媒/公关/展览,11,上海,上海,2
T3出行,T3出行,民营企业,500-2000人,互联网/游戏/软件,61,江苏,南京,2
特斯拉,TESLA-特斯拉,外资企业,2000人以上,制造/汽车/机械,448,全国,,1
尚诚同力,Topline尚诚同力,,150-500人,广告/传媒/公关/展览,27,北京,北京,2
YY直播,YY直播,民营企业,500-2000人,互联网/游戏/软件,25,广东,广州,1
万孚生物,万孚生物,民营企业,500-2000人,制药/健康/医疗/生物,197,广东,广州,2
万得信息技术,万得,股份制企业,2000人以上,游戏/软件/互联网,295,上海市/江苏省/广东省,市辖区/南京市/深圳市/苏州市,2
万科/万科企业股份,万科,股份制企业/民营企业,2000人以上,物业/家居/房产/建筑,57,北京/浙江省,北京/嘉兴市,4
万科,万科物业,外资企业/民营企业,2000人以上,家居/建筑/农林牧渔/物业/其他/房产,255,广东省/山东省/浙江,济南市/杭州市/广州市,1
万科,万科祥盈,民营企业,2000人以上,企业服务/咨询,19,四川,四川,1
万科,万科集团,民营企业,2000人以上,物业/家居/房产/建筑,388,广东省,深圳市,1
京东,上海京东,民营企业,2000人以上,交通/物流/贸易,26,上海,上海,1
招商银行,上海招商银行培训中心酒店,国有企业,2000人以上,餐饮/酒店/旅游/娱乐,20,上海,上海,1
链家,上海链家,民营企业,2000人以上,物业/家居/房产/建筑,330,上海,上海,1
龙湖,东北龙湖,民营企业,500-2000人,房产/家居/物业/建筑,11,辽宁,沈阳市,4
东方财富,东方财富,股份制企业,2000人以上,金融/经济/投资/财会,42,上海,上海,2
东海基金,东海基金,民营企业,50-150人,金融/经济/投资/财会,19,上海,上海,2
丝芙兰,丝芙兰 ,外资企业,2000人以上,百货/快消/批发/零售,99,上海,上海,3
