公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,111医药馆,民营企业,150-500人,化工/能源/环保,5,北京,北京,7
,123kanfang,外资企业,15-50人,软件/互联网/游戏,15,上海,上海,9
,13media,民营企业,50-150人,传媒/广告/展览/公关,5,广东,广州,8
,2060Advisory,民营企业,少于15人,金融/经济/投资/财会,10,浙江,杭州,10
,21世纪教育研究院,,15-50人,教育/培训,14,北京,北京,9
,360数科,民营企业,2000人以上,软件/互联网/游戏,288,北京,北京,5
,365企业中心,民营企业,15-50人,咨询/企业服务,23,上海,上海,9
,3699,民营企业,15-50人,互联网/游戏/软件,16,陕西,西安,9
,3S-Lift,民营企业,500-2000人,汽车/机械/制造,41,北京,北京,6
,3Slift,股份制企业,150-500人,制造/汽车/机械,30,北京,北京,7
,3k游戏,民营企业,150-500人,互联网/游戏/软件,10,广东,广州,7
,4399游戏,民营企业,2000人以上,软件/互联网/游戏,118,广东省,广州市,5
,51WORLD,民营企业,500-2000人,软件/互联网/游戏,172,北京,北京,6
,720,民营企业,15-50人,互联网/游戏/软件,62,北京,北京,9
,77度全球家居先锋,民营企业,50-150人,软件/互联网/游戏,34,广东,广州,8
,86Research,民营企业,50-150人,基金/证券/期货/投资,6,上海,上海,8
,89Trillion,民营企业,150-500人,软件/互联网/游戏,199,北京,北京,7
,ABB,外资企业,2000人以上,企业服务/咨询,1,北京,北京,5
,ABC学习发展中心,民营企业,50-150人,教育/培训,9,广东,阳江,8
,ABT,外资企业,150-500人,制造/汽车/机械,25,广东,江门,7
,ACT,民营企业,15-50人,汽车/机械/制造,11,江苏,南京,9
,AGS,外资企业,50-150人,咨询/企业服务,24,上海,上海,8
,AKULAKU,民营企业,2000人以上,软件/互联网/游戏,742,广东,深圳,5
,AMD超威半导体,外资企业,2000人以上,电子/通信/硬件,34,上海,上海,5
,AMMI,民营企业,15-50人,汽车/机械/制造,8,上海,上海,9
,AMT,股份制企业,500-2000人,咨询/企业服务,27,上海,上海,6
,AMYGO AI,民营企业,500-2000人,互联网/游戏/软件,26,江苏,南通,6
,APUS,外资企业,150-500人,软件/互联网/游戏,128,北京,北京,7
,ASMAT,民营企业,少于15人,房产/家居/物业/建筑,16,北京,北京,10
,AST,民营企业,500-2000人,制造/汽车/机械,49,上海,上海,6
,ATL新能源科技,外资企业,2000人以上,汽车/机械/制造,34,福建,宁德,5
,AUX,民营企业,2000人以上,制造/汽车/机械,118,浙江,宁波,5
,AceCamp本营,外资企业,15-50人,金融/经济/投资/财会,18,北京,北京,9
,Acuity 锐识,外资企业,2000人以上,金融/经济/投资/财会,11,北京,北京,5
,Adradar,股份制企业,少于15人,互联网/游戏/软件,11,北京,北京,10
,Adswave,民营企业,15-50人,互联网/游戏/软件,16,广东,广州,9
,Agoda,外资企业,500-2000人,互联网/游戏/软件,11,上海,上海,6
,Aibee（爱笔智能）,民营企业,150-500人,软件/互联网/游戏,151,北京,北京,7
,Akuna Capital,外资企业,150-500人,投资/经济/财会/金融,39,上海,上海,7
,Alfa Laval,外资企业,2000人以上,环保/化工/能源,77,上海,上海,5
,AlphaSights,外资企业,500-2000人,咨询/企业服务,21,上海,上海,6
,Apple,民营企业,500-2000人,电子/通信/硬件,22,全国,,6
,Archibat HR Asia,民营企业,少于15人,企业服务/咨询,7,上海,上海,10
,ArtoryLab,股份制企业,少于15人,广告/传媒/公关/展览,15,上海,上海,10
,Arup,外资企业,2000人以上,企业服务/咨询,53,北京,北京,5
,Atman,民营企业,50-150人,软件/互联网/游戏,57,北京,北京,8
,Atomic,外资企业,150-500人,咨询/企业服务,18,上海,上海,7
,AtradiusCollections,外资企业,2000人以上,企业服务/咨询,11,上海,上海,5
,Avepoint,外资企业,500-2000人,软件/互联网/游戏,84,上海,上海,6
,BDA中国,,50-150人,金融/经济/投资/财会,11,北京,北京,8
,BECKHOFF,外资企业,150-500人,电子/通信/硬件,8,上海,上海,7
,BESTQI,民营企业,150-500人,贸易/交通/物流,48,广东,深圳市,7
,BETRUST,民营企业,少于15人,交通/贸易/物流,4,广东,深圳,10
,BE教育,民营企业,150-500人,培训/教育,18,上海,上海,7
,BHGE,外资企业,2000人以上,制造/汽车/机械,9,上海,上海,5
,BME柏美迪康,股份制企业,50-150人,环保/化工/能源,17,上海,上海,8
,BMO 加拿大蒙特利尔银行,外资企业,150-500人,金融/经济/投资/财会,7,北京,北京,7
,BOE,股份制企业,2000人以上,汽车/机械/制造,8,江苏,南京,5
,BUZZ公关,民营企业,15-50人,广告/传媒/公关/展览,48,上海,上海,9
,Beecoming,民营企业,少于15人,教育/培训,11,上海,上海,10
,Binarix,民营企业,50-150人,快消/百货/批发/零售,101,上海,上海,8
,Bying,民营企业,少于15人,快消/百货/批发/零售,10,广东,深圳,10
,C&R服装艺术,民营企业,少于15人,不限,20,北京,北京,10
,CAAChina,合伙企业,50-150人,广告/传媒/公关/展览,3,北京,北京,8
,CAMERICH锐驰,民营企业,500-2000人,房产/家居/物业/建筑,244,北京,北京,6
,CASA中国,外资企业,150-500人,电子/通信/硬件,162,广东省,广州市,7
,CBC,外资企业,2000人以上,金融/经济/投资/财会,7,江西,南昌,5
