,工具性技能1,工具性技能2,工具性技能3,工具性技能4,工具性技能5,工具性技能6,知识/思维1,知识/思维2,知识/思维3,知识/思维4,知识/思维5,知识/思维6,语言1,语言2,语言3,资质/经验1,资质/经验2,资质/经验3,通用技能1,通用技能2,通用技能3,通用技能4,通用技能5,通用技能6,思想/品格1,思想/品格2,思想/品格3,思想/品格4,思想/品格5,其他要求1,其他要求2,其他要求3
3D设计师,3dsMAX,MAYA,Zbrush,Unity3D,,,,,,,,,,,,美术设计功底,,,,,,,,,审美力,,,,,,,
Android客户端开发工程师,C++,Java,AndroidSDK,Kotlin,,,AndroidUI框架,数据结构,,,,,,,,,,,,,,,,,,,,,,,,
BD经理/业务拓展员,,,,,,,市场思维,商务运营,商务谈判,市场开拓,,,英语听说,,,,,,多项目并行管理,office办公软件,语言表达,,,,热爱销售,,,,,,,
C工程师/C#工程师/C++开发工程师,C++STL,linux,Windows,,,,数据结构,编程习惯,,,,,,,,,,,,,,,,,,,,,,,,
FPGA开发工程师,Verilog HDL,Vivado,Altera,Modesim,,,硬件描述语言,,,,,,,,,,,,,,,,,,,,,,,,,
IP软件工程师,C++,Java,C语言,linux,GUI设计,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
IT软件开发工程师/IT技术研发工程师,C++,Java,html5css,python,,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
Java工程师/JAVA开发实施工程师,Java,Springboot,mybati,Mysql,springcloud,,数据结构,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI设计师,photoshop,Skecthup,illustrator,figma,sketch,,,,,,,,,,,专业美术基础,,,,,,,,,色彩感觉,审美力,,,,,,
编辑,,,,,,,,,,,,,英汉翻译,,,文字功底,,,资料检索,,,,,,新闻敏感,热爱文字工作,,,,,,
